hhid,province,qty_rice_harvested,area_rice_harvested
HID100224,Takeo,1500,.6
HID100368,Kandal,0,0
HID100532,Takeo,24000,1.5
HID100543,Otdar Meanchey,200,.03
HID100682,Koh Kong,0,0
HID100967,Prey Veng,5000,2.3
HID101054,Kampong Cham,0,0
HID101094,Preah Vihear,7000,2.5
HID101229,Kampong Chhnang,2280,.3
HID101249,Prey Veng,10500,2.05
HID101429,Tboung Khmum,9000,3.9
HID101461,Kampot,935,.4
HID101580,Svay Rieng,0,0
HID101639,Banteay Meanchey,400,2
HID101666,Tboung Khmum,2400,1
HID101774,Stung Treng,0,0
HID101853,Kampong Speu,400,.3
HID101901,Kampong Chhnang,1150,.91
HID101937,Tboung Khmum,0,0
HID102093,Banteay Meanchey,0,0
HID102185,Otdar Meanchey,2000,1
HID102269,Tboung Khmum,4000,.53
HID102336,Prey Veng,2775,1
HID102342,Preah Vihear,0,0
HID102398,Kampong Chhnang,23000,1.6
HID102464,Kampong Thom,500,.5
HID102469,Prey Veng,1400,.5
HID102658,Kampot,750,.3
HID102760,Banteay Meanchey,0,0
HID102780,Tboung Khmum,0,0
HID102869,Kandal,0,0
HID102900,Kampong Cham,630,.3
HID102936,Prey Veng,3300,1.08
HID103054,Battambang,2700,1.2
HID103069,Kampong Cham,3000,.63
HID103072,Kampong Thom,3675,2.233
HID103155,Kampong Speu,5000,2.2
HID103168,Siem Reap,0,0
HID103193,Kratie,5000,4
HID103228,Kampong Thom,600,.7
HID103377,Banteay Meanchey,25000,12.5
HID103410,Kampot,0,0
HID103456,Ratanak Kiri,0,0
HID103520,Banteay Meanchey,1500,1
HID103658,Prey Veng,1900,.7
HID103695,Mondul Kiri,4000,1.5
HID103705,Siem Reap,0,0
HID103754,Kampong Chhnang,0,0
HID103871,Kampong Speu,800,.3
HID103888,Kratie,6000,3
HID104066,Kampot,550,.25
HID104070,Siem Reap,1500,.5
HID104134,Prey Veng,2250,1.07
HID104161,Battambang,80000,18
HID104427,Prey Veng,3300,.27
HID104460,Tboung Khmum,1000,.4
HID104658,Kratie,1650,.7
HID104683,Otdar Meanchey,600,.8
HID104701,Prey Veng,35000,7
HID104736,Banteay Meanchey,1800,2.5
HID104757,Takeo,3500,1.2
HID104838,Takeo,600,.25
HID104888,Siem Reap,0,0
HID104976,Kratie,0,0
HID105088,Kampong Speu,4000,.9
HID105223,Phnom Penh,0,0
HID105238,Kratie,0,0
HID105463,Kandal,0,0
HID105512,Kratie,0,0
HID105522,Takeo,900,.3
HID105558,Preah Vihear,0,0
HID105581,Kandal,0,0
HID105651,Prey Veng,2200,.7
HID105671,Prey Veng,3800,.75
HID105856,Kampot,2000,1.15
HID106028,Takeo,2000,.5
HID106048,Svay Rieng,900,.57
HID106083,Preah Vihear,350,2
HID106130,Kandal,250,.035
HID106132,Preah Sihanouk,0,0
HID106578,Kampong Cham,1000,.7
HID106595,Prey Veng,1500,1.5
HID106611,Koh Kong,2000,1
HID106688,Otdar Meanchey,8000,3.7
HID106860,Kampot,13885,7.5
HID106901,Prey Veng,4000,1.5
HID106911,Battambang,800,.16
HID107022,Kampong Speu,1675,.6699999999999999
HID107133,Battambang,0,0
HID107170,Kampong Chhnang,300,.416
HID107498,,0,0
HID107534,Kampong Chhnang,1800,.44
HID107761,Phnom Penh,2100,1.2
HID107814,Kampot,2000,.7
HID107864,Kampong Speu,3100,1.7
HID107881,Preah Vihear,8000,4
HID107911,Kampong Cham,0,0
HID107933,Battambang,30000,11
HID107972,Prey Veng,2400,.8
HID108148,Siem Reap,0,0
HID108184,Kampong Cham,600,.5
HID108232,Banteay Meanchey,0,0
HID108235,Kampong Speu,500,.4
HID108427,Kampong Cham,3000,1
HID108429,Kampong Speu,300,.15
HID108438,Svay Rieng,20000,6
HID108512,Kandal,1000,.5
HID108514,Tboung Khmum,720,.4
HID108631,Kampong Speu,0,0
HID108721,Ratanak Kiri,1100,1
HID108728,Kampong Cham,1200,.63
HID108753,Kampong Cham,0,0
HID108772,Kampong Chhnang,0,0
HID108792,Battambang,0,0
HID108846,Kandal,0,0
HID108992,Svay Rieng,800,.86
HID108998,Kampong Cham,6000,1.4
HID109351,Battambang,6000,4
HID109386,Banteay Meanchey,7000,3.5
HID109461,Siem Reap,0,0
HID109674,Banteay Meanchey,3000,1.5
HID109737,Kratie,8000,2
HID109782,Kandal,2000,.7
HID109810,Svay Rieng,500,.2
HID109882,Prey Veng,1250,.6
HID110027,Preah Sihanouk,5000,2.2
HID110108,Takeo,1500,.4
HID110240,Kratie,15000,4
HID110284,Battambang,20000,6
HID110679,Banteay Meanchey,2000,1.5
HID110713,Kampong Cham,900,.7
HID110771,Tboung Khmum,1000,.5
HID110801,Tboung Khmum,3000,1.4
HID110921,Svay Rieng,0,0
HID111135,Koh Kong,250,.25
HID111218,Kampong Thom,500,.4
HID111255,Siem Reap,0,0
HID111264,Kampong Cham,0,0
HID111268,Takeo,1500,.6
HID111387,Kandal,1300,.25
HID111432,Kampot,2100,.79
