hhid,weight
HID100224,170.260099
HID100368,36.08541125
HID100532,67.22098613
HID100543,308.3701823
HID100682,47.97696707
HID100967,29.37021564
HID101054,136.1365473
HID101094,236.3659786
HID101229,183.5552316
HID101249,173.2321358
HID101429,33.62304452
HID101461,212.825885
HID101580,49.09274154
HID101639,117.3369137
HID101666,27.44310799
HID101774,173.3627955
HID101853,20.87827272
HID101901,199.819963
HID101937,25.35032421
HID102093,53.52263264
HID102185,141.0174208
HID102269,68.09862141
HID102336,205.2057162
HID102342,31.79685189
HID102398,232.5728219
HID102464,119.2144857
HID102469,130.1889092
HID102658,173.0756457
HID102760,120.5319298
HID102780,219.6789843
HID102869,43.48065814
HID102900,165.499332
HID102936,127.8996547
HID103054,43.18237034
HID103069,135.8068048
HID103072,122.4925729
HID103155,113.6705959
HID103168,318.6327478
HID103193,143.6486842
HID103228,109.5303959
HID103377,40.41185672
HID103410,26.56862983
HID103456,39.71349974
HID103520,53.52263264
HID103658,111.8267034
HID103695,31.08279345
HID103705,127.5085841
HID103754,129.1105199
HID103871,194.0717491
HID103888,33.03419219
HID104066,251.1876648
HID104070,153.3528612
HID104134,134.7203592
HID104161,36.79149679
HID104427,163.0533609
HID104460,527.2195269
HID104658,114.3717143
HID104683,141.0174208
HID104701,278.4087897
HID104736,265.5229466
HID104757,165.1582284
HID104838,134.1515112
HID104888,97.35674746
HID104976,33.03419219
HID105088,88.35305408
HID105223,53.2575783
HID105238,56.04421572
HID105463,19.22583385
HID105512,42.0230183
HID105522,146.1341332
HID105558,332.5160983
HID105581,150.0724224
HID105651,142.3941194
HID105671,178.7315687
HID105856,146.5559903
HID106028,165.0583141
HID106048,91.79563418
HID106083,62.34676841
HID106130,208.2632125
HID106132,45.32928902
HID106578,62.8593793
HID106595,191.3479148
HID106611,57.50852233
HID106688,280.4954603
HID106860,29.90037561
HID106901,87.61840867
HID106911,134.8364349
HID107022,221.7962847
HID107133,179.3650704
HID107170,153.0311877
HID107498,148.5965949
HID107534,106.5958767
HID107761,79.63373989
HID107814,177.554412
HID107864,17.79191936
HID107881,35.32983544
HID107911,65.38428256
HID107933,112.7717514
HID107972,88.71585137
HID108148,103.0810709
HID108184,27.84100912
HID108232,163.6469598
HID108235,131.4316265
HID108427,182.0046562
HID108429,194.4725857
HID108438,28.77025924
HID108512,137.9575828
HID108514,221.0317815
HID108631,140.3019926
HID108721,302.5317678
HID108728,141.1099568
HID108753,94.22589705
HID108772,197.3068777
HID108792,117.0638535
HID108846,70.1432666
HID108992,123.9667667
HID108998,163.0832834
HID109351,31.28073579
HID109386,45.16833032
HID109461,59.58642332
HID109674,149.720324
HID109737,29.18969569
HID109782,85.59101676
HID109810,122.4106985
HID109882,138.2258307
HID110027,31.01581424
HID110108,127.0060225
HID110240,32.40195884
HID110284,197.9684923
HID110679,352.3129306
HID110713,38.36575423
HID110771,274.6966583
HID110801,111.8633354
HID110921,149.4166906
HID111135,52.60036327
HID111218,83.13752938
HID111255,48.03104807
HID111264,84.56833998
HID111268,159.4631171
HID111387,64.04769961
HID111432,129.8067343
HID111471,64.36735967
HID111477,243.2928618
HID111781,26.10758912
HID111841,109.1830917
HID111910,66.09009119
HID111913,124.0042864
HID111938,353.9377735
HID112165,26.90166268
HID112252,87.76038654
HID112413,150.0724224
HID112569,108.4025865
HID112624,436.9011375
HID112689,127.9503143
HID112695,144.9664701
HID112714,30.64188841
HID112719,158.4736363
HID112794,36.03903347
HID112852,150.7416439
HID113000,103.4355354
HID113021,85.98647898
HID113136,45.4061933
HID113198,173.8060079
HID113262,161.7648561
HID113322,244.2093856
HID113341,173.0428129
HID113359,88.23885684
HID113431,32.11488876
HID113460,32.73713162
HID113655,92.04483396
HID113897,20.87827272
HID113952,177.583497
HID113968,262.3731915
HID113990,35.36305043
HID114080,123.3945187
HID114096,186.9249551
HID114186,35.86029762
HID114252,189.532459
HID114366,283.7487005
HID114482,124.6711234
HID114551,159.2843492
HID114611,138.2013681
HID114689,33.17268747
HID114704,196.9192719
HID114730,184.9377327
HID114980,193.2644642
HID115123,122.0380998
HID115212,23.91946756
HID115257,163.2577991
HID115391,84.85842151
HID115392,127.0817838
HID115410,181.9677384
HID115529,32.51255563
HID115569,151.4094243
HID115584,106.9654569
HID115626,39.22361577
HID115627,388.7333207
HID115740,104.4625881
HID115743,157.9370876
HID115747,234.5583725
HID115854,199.1580337
HID115904,256.0991039
HID115977,33.11743482
HID116371,18.02705485
HID116534,229.0150818
HID116575,174.4714171
HID116661,151.1888666
HID116789,124.9074089
HID116889,70.58630392
HID117044,118.9983961
HID117166,146.0306811
HID117174,175.6873327
HID117269,221.0317815
HID117397,114.6540601
HID117714,248.9288025
HID117744,29.37021564
HID117824,151.44119
HID117853,161.7648561
HID118036,68.19339958
HID118073,121.5790322
HID118174,37.90303768
HID118177,45.91186414
HID118288,136.0158887
HID118482,213.5572767
HID118603,141.1930883
HID118622,32.55249994
HID118759,23.94493157
HID118845,197.9684923
HID119063,152.7415441
HID119064,27.78110253
HID119074,122.9423609
HID119102,125.2696363
HID119117,38.67537896
HID119134,211.7605208
HID119145,166.5607354
HID119343,126.8144452
HID119540,80.68074376
HID119613,118.9983961
HID119701,65.38428256
HID119707,34.56780049
HID119811,203.2216866
HID119850,113.5641627
HID119860,32.0335915
HID119874,174.8608074
HID119895,57.10520081
HID119899,167.2086747
HID120023,170.8533398
HID120154,137.0757445
HID120206,227.5973781
HID120345,148.2921766
HID120414,192.5561098
HID120453,208.7333326
HID120487,133.4115082
HID120524,265.5229466
HID120683,90.60482468
HID120947,143.2378523
HID120976,25.68539815
HID121031,55.05948379
HID121121,200.129367
HID121348,17.48778398
HID121372,138.3748356
HID121373,264.8691393
HID121412,38.61965817
HID121420,175.2910888
HID121476,143.2378523
HID121521,187.1958331
HID121877,410.7509532
HID121908,156.4928903
HID121953,179.6509401
HID121972,109.5303958
HID121990,112.2465287
HID122035,190.9415188
HID122130,266.2364819
HID122149,50.49959573
HID122472,95.48672847
HID122488,172.6264261
HID122500,36.86466431
HID122663,45.08334702
HID122733,215.9741322
HID122787,289.8210541
HID122919,81.1450461
HID122920,170.3762958
HID122992,90.97732018
HID123010,296.6774031
HID123179,162.1053762
HID123283,137.4424246
HID123382,139.7649897
HID123527,127.0060225
HID123588,120.0875424
HID123638,182.3699154
HID123680,165.8035598
HID123685,30.58763078
HID123727,105.5727634
HID123780,72.73164625
HID123794,259.4034253
HID123797,124.8773646
HID123830,100.778764
HID123865,94.67881674
HID124040,166.7288029
HID124095,105.5081409
HID124140,95.3907586
HID124200,178.7315687
HID124219,146.9497128
HID124324,183.6247204
HID124360,171.9444324
HID124568,145.3560179
HID124582,211.2171527
HID124605,183.4458807
HID124616,28.90228068
HID125113,149.2162638
HID125133,258.8115852
HID125173,30.42704561
HID125372,132.7720225
HID125435,104.6040856
HID125459,146.1341332
HID125469,45.55902731
HID125549,33.88168332
HID125552,173.6007539
HID125567,143.6486842
HID125572,290.0573408
HID125632,65.84365399
HID125640,32.55249994
HID125654,130.4231903
HID125678,21.71166389
HID125683,60.21541646
HID125702,271.9758097
HID125854,183.5552316
HID125929,248.9475421
HID126001,87.76038654
HID126004,79.60603514
HID126037,230.162074
HID126115,234.5583725
HID126274,190.5642978
HID126560,207.0124482
HID126607,86.17598086
HID126875,53.03931079
HID126903,26.63412748
HID127043,47.43446369
HID127182,53.2575783
HID127264,210.606897
HID127325,136.0158887
HID127342,100.8597759
HID127537,53.2575783
HID127713,149.1926571
HID127761,186.377839
HID127874,139.2138324
HID127926,259.2674541
HID127981,268.8041266
HID128062,262.6288651
HID128093,230.8973975
HID128191,148.1848687
HID128233,208.9124853
HID128352,70.86006846
HID128462,32.82466405
HID128486,182.4708335
HID128496,179.0788159
HID128578,180.5480555
HID128603,102.9403339
HID128617,281.9119241
HID128632,109.4322114
HID128685,113.6696259
HID128697,321.9920304
HID128773,70.35137519
HID128791,80.68074376
HID128989,30.45596478
HID129242,137.4424246
HID129327,37.55080866
HID129339,94.17569395
HID129376,146.1894093
HID129395,134.8364349
HID129495,165.7365473
HID129595,125.5241165
HID129600,202.4685458
HID129665,185.7458523
HID129788,160.7429033
HID129804,172.9222
HID129856,200.651062
HID130039,146.2674814
HID130098,180.717475
HID130104,176.414678
HID130165,160.9447603
HID130174,182.7809217
HID130208,64.00414084
HID130216,116.4626993
HID130238,21.94446566
HID130257,82.07647502
HID130357,115.1204321
HID130712,149.8924531
HID130813,125.6808559
HID130830,259.2674541
HID130838,128.8525693
HID130860,192.8626337
HID131059,36.62973868
HID131233,142.1686519
HID131253,36.0296019
HID131255,51.31460755
HID131297,126.7239282
HID131367,141.1099568
HID131391,162.7665496
HID131476,158.6525557
HID131481,61.34147014
HID131524,159.0390131
HID131577,31.32593918
HID131625,35.47815312
HID131660,81.22900741
HID131683,49.09274154
HID131959,52.78521294
HID132027,29.18969569
HID132099,527.2195269
HID132118,172.041983
HID132326,51.83698175
HID132405,157.2837885
HID132464,244.7390053
HID132468,278.799584
HID132476,113.4852562
HID132734,161.5718009
HID132754,182.5082684
HID132779,36.26230052
HID132902,196.0612096
HID132919,117.7502747
HID133075,361.5647154
HID133163,464.0040723
HID133182,133.5893328
HID133362,108.5376827
HID133374,21.63139479
HID133384,199.4489271
HID133542,311.1790124
HID133671,144.6749127
HID133815,152.1325876
HID133823,289.6474363
HID133880,157.3900559
HID133882,135.4846872
HID133965,31.13771258
HID134038,174.547466
HID134148,57.14366438
HID134359,29.6416714
HID134360,134.0355607
HID134670,49.8716639
HID134701,210.2970873
HID134757,172.9165592
HID134919,159.8745683
HID134975,206.9207349
HID134983,125.5241165
HID134999,31.16979606
HID135025,151.5332865
HID135078,187.6844148
HID135197,98.30817709
HID135312,188.7100007
HID135559,43.35509981
HID135620,194.0717491
HID135665,92.7487895
HID135681,86.75102376
HID135703,180.345192
HID135799,102.8810102
HID135808,171.9444324
HID135853,235.0408232
HID135884,210.9941538
HID135926,63.05059296
HID135956,62.68170006
HID136050,164.9829865
HID136254,91.91126455
HID136278,234.9001002
HID136281,148.1848687
HID136309,91.79563418
HID136315,170.3325288
HID136319,165.937622
HID136501,129.1971409
HID136563,21.72976169
HID136623,115.0147201
HID136650,126.8397232
HID136912,352.3325645
HID136959,77.16700082
HID136972,101.3536761
HID137047,36.08541125
HID137050,139.0194389
HID137076,87.34702453
HID137095,153.310803
HID137139,164.2411157
HID137152,55.05948799
HID137376,31.6229758
HID137403,330.4415805
HID137565,301.6340771
HID137620,35.47815312
HID137641,33.99590674
HID137680,164.9829865
HID137736,275.1525466
HID137754,91.95823484
HID137761,232.7423271
HID137777,54.79636523
HID137827,682.7636683
HID137883,103.012776
HID138000,162.636391
HID138046,35.42842339
HID138069,298.7370506
HID138108,130.0883323
HID138210,164.8074645
HID138246,14.89064062
HID138391,13.99047138
HID138527,141.7627912
HID138655,68.3475336
HID138680,84.83889595
HID138683,82.83641805
HID138781,125.2603256
HID138784,275.1525466
HID138947,180.345192
HID139170,133.5350801
HID139180,153.0311877
HID139271,180.717475
HID139418,287.8733003
HID139442,86.52537897
HID139599,140.7395894
HID139793,151.1888666
HID139900,138.4289741
HID140000,254.5414629
HID140305,133.4115082
HID140349,68.82529016
HID140448,219.8113143
HID140491,29.82210792
HID140622,31.69232443
HID140625,45.38349267
HID140627,122.9423609
HID140629,58.02841089
HID140732,24.47010462
HID140857,88.6726762
HID141006,282.1410802
HID141056,80.68074376
HID141080,76.74478583
HID141096,442.0429856
HID141102,121.2266292
HID141106,150.4763382
HID141224,99.10257656
HID141302,35.61386873
HID141328,186.4410242
HID141403,190.9415188
HID141462,157.2837885
HID141530,122.4106985
HID142161,39.96683214
HID142283,13.99047138
HID142308,183.3750441
HID142325,114.3717143
HID142530,171.9444324
HID142596,186.6016204
HID142616,138.4289741
HID142739,452.7710738
HID142772,183.6612341
HID142807,189.532459
HID142836,110.2267732
HID142858,283.9689056
HID142869,125.8919345
HID143056,172.9222
HID143096,187.3735893
HID143146,168.593192
HID143161,163.5987635
HID143170,157.0240325
HID143304,36.49419177
HID143360,174.0600685
HID143377,135.1868159
HID143455,38.45929658
HID143478,151.44119
HID143566,232.4843911
HID143606,78.37237436
HID143619,355.5827205
HID143646,206.7301942
HID143715,136.8287407
HID143834,133.4115082
HID143927,87.76038654
HID144083,122.458244
HID144298,71.10141103
HID144302,29.2295818
HID144313,98.63697964
HID144315,184.6053856
HID144332,28.16707913
HID144343,167.9693197
HID144358,209.4543026
HID144414,187.6844148
HID144449,272.0849439
HID144477,135.5559231
HID144559,156.0889516
HID144621,426.3945655
HID144632,342.6525158
HID144803,193.8329526
HID144881,188.7100007
HID144965,208.4485191
HID145062,283.7487005
HID145344,155.8017925
HID145345,156.5239037
HID145366,167.2086747
HID145370,120.1695739
HID145443,37.63552589
HID145546,150.0090204
HID145702,45.10676406
HID145933,124.7258099
HID145942,270.1757853
HID146091,149.1926571
HID146460,171.1257192
HID146542,303.7399505
HID146552,68.82529016
HID146662,199.0266515
HID146672,203.5836705
HID146691,65.4863736
HID146904,81.1450461
HID146985,224.8604209
HID147043,82.07610868
HID147069,146.5505203
HID147295,40.20385492
HID147374,197.6484725
HID147441,160.9447603
HID147557,126.2479301
HID147746,149.8530673
HID147761,143.2378523
HID148023,243.4298555
HID148045,316.4065861
HID148048,349.1134956
HID148055,59.12240043
HID148224,196.6588225
HID148297,215.0535821
HID148327,219.6789843
HID148335,51.24716291
HID148376,225.8904467
HID148438,18.91628556
HID148449,328.9842158
HID148514,244.7010462
HID148553,153.3528612
HID148686,132.6821999
HID149084,161.8532847
HID149249,57.50852233
HID149306,34.15043358
HID149343,52.78521294
HID149380,212.825885
HID149518,67.93211487
HID149527,202.4685458
HID149537,75.93171219
HID149634,67.93211487
HID149644,179.0788159
HID149739,146.9497128
HID149806,166.1555157
HID149870,124.7183652
HID149980,70.52528353
HID150063,50.49959573
HID150076,194.4725857
HID150116,224.8604209
HID150129,27.96583386
HID150155,25.06715658
HID150161,45.17808935
HID150189,27.81560581
HID150215,98.63697964
HID150225,54.05628982
HID150268,122.0380998
HID150410,128.0488746
HID150518,87.76038654
HID150585,274.6966583
HID150604,125.1693622
HID150674,140.3275431
HID150755,142.3016101
HID151037,135.5554729
HID151134,247.6611365
HID151293,64.04769961
HID151308,39.01416704
HID151379,82.58114252
HID151394,151.5332865
HID151421,122.4925729
HID151473,261.9838669
HID151536,150.7631062
HID151634,63.85585471
HID151682,150.21406
HID151807,366.2973868
HID151818,128.5352123
HID151850,130.2451448
HID151889,34.37293818
HID151960,173.1730481
HID152008,199.3690026
HID152040,330.4415805
HID152075,120.0209085
HID152095,177.570332
HID152241,113.3054064
HID152378,86.75102376
HID152769,57.14366438
HID152815,309.5764207
HID152890,136.0158887
HID152981,105.2452235
HID152998,13.22204401
HID153004,33.54214305
HID153136,265.9912391
HID153165,86.15034636
HID153219,101.0019247
HID153245,33.80665937
HID153278,147.0576198
HID153452,183.6627198
HID153515,79.90238245
HID153705,132.7720225
HID153798,160.5030641
HID153816,108.0171551
HID153961,184.8322494
HID153965,168.1353918
HID154012,113.6705959
HID154057,231.3061959
HID154167,88.35305408
HID154242,52.16522707
HID154318,21.76670986
HID154337,164.5819862
HID154348,195.455103
HID154450,21.09351264
HID154480,160.2466648
HID154548,156.9845943
HID154569,26.72566209
HID154719,135.5554729
HID154723,19.22583385
HID154778,29.41281076
HID154835,149.3685253
HID154876,225.840427
HID154906,323.6132271
HID154938,32.73713162
HID155008,208.2632125
HID155294,57.50852233
HID155301,92.19917576
HID155339,55.38161568
HID155363,134.1515112
HID155447,113.5417764
HID155549,38.16470055
HID155664,243.2928618
HID155733,170.5534027
HID155741,177.9136412
HID155761,184.3622311
HID155775,100.778764
HID155797,126.6157817
HID155840,155.9965276
HID156103,197.3068777
HID156193,61.43337086
HID156256,53.2575783
HID156307,265.9912391
HID156376,35.94950234
HID156433,117.6697385
HID156574,54.79636523
HID156646,66.43401667
HID156668,84.90600909
HID156752,37.23060191
HID156803,124.2035659
HID156812,265.455603
HID156915,40.20385492
HID156948,91.91126455
HID157190,33.82943091
HID157223,165.499332
HID157257,125.6808559
HID157400,21.94446566
HID157426,207.2761804
HID157480,182.4708335
HID157558,90.08480512
HID157617,146.2674814
HID157681,238.0908977
HID157690,156.0939688
HID157703,30.96085343
HID157799,26.17546747
HID157860,217.4611742
HID157879,58.87726057
HID157927,134.7114487
HID157999,115.1204321
HID158042,33.57736975
HID158144,48.53574471
HID158564,193.8329526
HID158567,80.27604043
HID158580,128.0488746
HID158757,131.0958678
HID158879,153.1979335
HID158936,190.7267393
HID158940,97.34583914
HID158985,120.5610863
HID159041,150.6298832
HID159049,43.9319192
HID159066,143.8032901
HID159218,111.7704338
HID159376,120.7421686
HID159533,57.10520081
HID159537,140.9565992
HID159618,192.8626337
HID159706,77.33911091
HID159726,290.0573408
HID159775,126.7239282
HID159829,89.84958982
HID159836,235.7612359
HID159918,196.916441
HID160263,145.0537675
HID160393,227.3411918
HID160499,373.7612243
HID160769,30.33986209
HID160778,32.44521625
HID160857,99.93196756
HID160901,115.1204321
HID160966,152.5881946
HID161039,130.208883
HID161241,235.0408232
HID161303,181.012187
HID161358,29.78987976
HID161368,200.5748635
HID161385,222.0297638
HID161417,17.16674222
HID161462,369.6460811
HID161510,153.1984875
HID161522,285.7580718
HID161540,125.406506
HID161621,122.2591298
HID161645,213.8174605
HID161682,36.60016796
HID161705,146.1894093
HID161734,210.6500181
HID162030,156.7385988
HID162380,202.1363456
