hhid,weight,province,feed_Buffalo,form_contract_Buffalo,contract_coverage_Buffalo,main_purpose_Buffalo,LIVESTOCKAGE_Buffalo,num_ado_male_Buffalo,num_ado_fem_Buffalo,num_adult_male_Buffalo,num_adult_fem_Buffalo,births_Buffalo,bought_received_Buffalo,deaths_Buffalo,sold_Buffalo,sale_price_Buffalo,stolen_Buffalo,gift_Buffalo,slghtr_Buffalo,num_vax_Buffalo,num_Buffalo,provision_feed_Buffalo,for_sale_live_Buffalo,for_gift_Buffalo,for_meat_Buffalo,for_draught_Buffalo,for_breeding_Buffalo,for_milk_Buffalo,growth_Buffalo,loss_Buffalo,net_growth_Buffalo,num_start_Buffalo,growth_pct_Buffalo,loss_pct_Buffalo,net_growth_pct_Buffalo,peak_num_Buffalo,mortality_rt_Buffalo,vax_pct_Buffalo,vax_Buffalo,price_prov_med_Buffalo,sale_price_obs_Buffalo,sale_price_impt_Buffalo,price_natl_med_Buffalo,sale_revenue_Buffalo,slghtr_unit_value_Buffalo,slghtr_value_Buffalo,prod_value_Buffalo,feed_Cattle,form_contract_Cattle,contract_coverage_Cattle,main_purpose_Cattle,LIVESTOCKAGE_Cattle,num_ado_male_Cattle,num_ado_fem_Cattle,num_adult_male_Cattle,num_adult_fem_Cattle,births_Cattle,bought_received_Cattle,deaths_Cattle,sold_Cattle,sale_price_Cattle,stolen_Cattle,gift_Cattle,slghtr_Cattle,num_vax_Cattle,num_Cattle,provision_feed_Cattle,for_sale_live_Cattle,for_gift_Cattle,for_meat_Cattle,for_draught_Cattle,for_breeding_Cattle,for_milk_Cattle,growth_Cattle,loss_Cattle,net_growth_Cattle,num_start_Cattle,growth_pct_Cattle,loss_pct_Cattle,net_growth_pct_Cattle,peak_num_Cattle,mortality_rt_Cattle,vax_pct_Cattle,vax_Cattle,price_prov_med_Cattle,sale_price_obs_Cattle,sale_price_impt_Cattle,price_natl_med_Cattle,sale_revenue_Cattle,slghtr_unit_value_Cattle,slghtr_value_Cattle,prod_value_Cattle,feed_Pigs,form_contract_Pigs,contract_coverage_Pigs,main_purpose_Pigs,LIVESTOCKAGE_Pigs,num_ado_male_Pigs,num_ado_fem_Pigs,num_adult_male_Pigs,num_adult_fem_Pigs,births_Pigs,bought_received_Pigs,deaths_Pigs,sold_Pigs,sale_price_Pigs,stolen_Pigs,gift_Pigs,slghtr_Pigs,num_vax_Pigs,num_Pigs,provision_feed_Pigs,for_sale_live_Pigs,for_gift_Pigs,for_meat_Pigs,for_draught_Pigs,for_breeding_Pigs,for_milk_Pigs,growth_Pigs,loss_Pigs,net_growth_Pigs,num_start_Pigs,growth_pct_Pigs,loss_pct_Pigs,net_growth_pct_Pigs,peak_num_Pigs,mortality_rt_Pigs,vax_pct_Pigs,vax_Pigs,price_prov_med_Pigs,sale_price_obs_Pigs,sale_price_impt_Pigs,price_natl_med_Pigs,sale_revenue_Pigs,slghtr_unit_value_Pigs,slghtr_value_Pigs,prod_value_Pigs,fhh,covid_shock,ag_comm,animal_area,animal_ded_area,qty_rice_harvested,area_rice_harvested,irrigation,drought,flood,extension_training
HID100224,170.260098996154,Takeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0003999999898952,1,1500,.6,1,No,No,
HID100368,36.0854112455925,Kandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only feeding,No,,Breeding,1,0,7,0,0,0,0,7,0,720000,0,0,0,7,7,Feed,No,No,No,No,Yes,No,0,7,-7,14,0,.5,-.5,14,.5,.5,Yes,720000,,720000,600000,,720000,,0,0,1,2,.0015000000130385,1,0,0,1,No,Yes,
HID100532,67.2209861254816,Takeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,.0020000000949949,1,24000,1.5,1,No,Yes,
HID100543,308.370182312982,Otdar Meanchey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,0,1,0,0,0,0,2340000,0,0,0,0,1,No feed,Yes,No,No,No,No,No,0,0,0,1,0,0,0,1,0,0,No,2340000,,2340000,2000000,,2340000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0005000000237487,1,200,.03,1,No,No,
HID100682,47.9769670691174,Koh Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0012000000569969,1,0,0,,No,No,
HID100967,29.3702156390264,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.0010000000474975,1,5000,2.3,1,Yes,No,
HID101054,136.136547329837,Kampong Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0010000000474975,1,0,0,0,No,No,
HID101094,236.36597860688,Preah Vihear,Only grazing,No,,Breeding,2,2,2,1,4,1,0,0,0,,0,0,0,0,9,No feed,No,No,No,No,Yes,No,1,0,1,8,.125,0,.125,9,0,0,No,,,,3200000,,,,0,Only grazing,No,,Live sale,2,2,4,0,2,0,0,0,0,1450000,0,0,0,0,8,No feed,Yes,No,No,No,No,No,0,0,0,8,0,0,0,8,0,0,No,1450000,,1450000,2000000,,1450000,,0,A mix of grazing and feeding,No,,Live sale,1,0,3,0,0,0,0,0,1,600000,0,0,0,0,3,Feed,Yes,No,No,No,No,No,0,1,-1,4,0,.25,-.25,4,0,0,No,400000,600000,,600000,600000,600000,,600000,0,2,2,.0120000001043081,1,7000,2.5,1,No,No,
HID101229,183.555231597254,Kampong Chhnang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Other,2,0,0,2,2,0,0,0,0,2000000,0,0,0,4,4,No feed,No,No,No,No,No,No,0,0,0,4,0,0,0,4,0,1,Yes,2000000,,2000000,2000000,,2000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0020000000949949,1,2280,.3,0,Yes,No,
HID101249,173.232135803738,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0006000000284985,1,10500,2.05,1,No,No,
