province,hhid,qty_rice_harvested,area_rice_harvested
21,HID100224,1500,0.6
8,HID100368,0,0
21,HID100532,24000,1.5
22,HID100543,200,0.03
9,HID100682,0,0
14,HID100967,5000,2.3
3,HID101054,0,0
13,HID101094,7000,2.5
4,HID101229,2280,0.3
14,HID101249,10500,2.05
25,HID101429,9000,3.9
7,HID101461,935,0.4
20,HID101580,0,0
1,HID101639,400,2
25,HID101666,2400,1
19,HID101774,0,0
5,HID101853,400,0.3
4,HID101901,1150,0.91
25,HID101937,0,0
1,HID102093,0,0
22,HID102185,2000,1
25,HID102269,4000,0.53
14,HID102336,2775,1
13,HID102342,0,0
4,HID102398,23000,1.6
6,HID102464,500,0.5
14,HID102469,1400,0.5
7,HID102658,750,0.3
1,HID102760,0,0
25,HID102780,0,0
8,HID102869,0,0
3,HID102900,630,0.3
14,HID102936,3300,1.08
2,HID103054,2700,1.2
3,HID103069,3000,0.63
6,HID103072,3675,2.233
5,HID103155,5000,2.2
17,HID103168,0,0
10,HID103193,5000,4
6,HID103228,600,0.7
1,HID103377,25000,12.5
7,HID103410,0,0
16,HID103456,0,0
1,HID103520,1500,1
14,HID103658,1900,0.7
11,HID103695,4000,1.5
17,HID103705,0,0
4,HID103754,0,0
5,HID103871,800,0.3
10,HID103888,6000,3
7,HID104066,550,0.25
17,HID104070,1500,0.5
14,HID104134,2250,1.07
2,HID104161,80000,18
14,HID104427,3300,0.27
25,HID104460,1000,0.4
10,HID104658,1650,0.7
22,HID104683,600,0.8
14,HID104701,35000,7
1,HID104736,1800,2.5
21,HID104757,3500,1.2
21,HID104838,600,0.25
17,HID104888,0,0
10,HID104976,0,0
5,HID105088,4000,0.9
12,HID105223,0,0
10,HID105238,0,0
8,HID105463,0,0
10,HID105512,0,0
21,HID105522,900,0.3
13,HID105558,0,0
8,HID105581,0,0
14,HID105651,2200,0.7
14,HID105671,3800,0.75
7,HID105856,2000,1.15
21,HID106028,2000,0.5
20,HID106048,900,0.57
13,HID106083,350,2
8,HID106130,250,0.035
18,HID106132,0,0
3,HID106578,1000,0.7
14,HID106595,1500,1.5
9,HID106611,2000,1
22,HID106688,8000,3.7
7,HID106860,13885,7.5
14,HID106901,4000,1.5
2,HID106911,800,0.16
5,HID107022,1675,0.67
2,HID107133,0,0
4,HID107170,300,0.416
,HID107498,0,0
4,HID107534,1800,0.44
12,HID107761,2100,1.2
7,HID107814,2000,0.7
5,HID107864,3100,1.7
13,HID107881,8000,4
3,HID107911,0,0
2,HID107933,30000,11
14,HID107972,2400,0.8
17,HID108148,0,0
3,HID108184,600,0.5
1,HID108232,0,0
5,HID108235,500,0.4
3,HID108427,3000,1
5,HID108429,300,0.15
20,HID108438,20000,6
8,HID108512,1000,0.5
25,HID108514,720,0.4
5,HID108631,0,0
16,HID108721,1100,1
3,HID108728,1200,0.63
3,HID108753,0,0
4,HID108772,0,0
2,HID108792,0,0
8,HID108846,0,0
20,HID108992,800,0.86
3,HID108998,6000,1.4
2,HID109351,6000,4
1,HID109386,7000,3.5
17,HID109461,0,0
1,HID109674,3000,1.5
10,HID109737,8000,2
8,HID109782,2000,0.7
20,HID109810,500,0.2
14,HID109882,1250,0.6
18,HID110027,5000,2.2
21,HID110108,1500,0.4
10,HID110240,15000,4
2,HID110284,20000,6
1,HID110679,2000,1.5
3,HID110713,900,0.7
25,HID110771,1000,0.5
25,HID110801,3000,1.4
20,HID110921,0,0
9,HID111135,250,0.25
6,HID111218,500,0.4
17,HID111255,0,0
3,HID111264,0,0
21,HID111268,1500,0.6
8,HID111387,1300,0.25
7,HID111432,2100,0.79
20,HID111471,2500,1.1
17,HID111477,500,0.1
17,HID111781,4500,2
2,HID111841,16000,6
2,HID111910,0,0
5,HID111913,1000,0.4
10,HID111938,0,0
17,HID112165,2000,1
5,HID112252,800,0.4
8,HID112413,30000,1.5
4,HID112569,13700,5
22,HID112624,10000,3.5
20,HID112689,600,0.18
21,HID112695,1500,0.45
13,HID112714,0,0
5,HID112719,2200,0.53
6,HID112794,0,0
4,HID112852,3000,0.64
21,HID113000,200,0.09
6,HID113021,23000,6
10,HID113136,0,0
5,HID113198,1500,1
7,HID113262,0,0
8,HID113322,7300,1
6,HID113341,1200,0.9
4,HID113359,1500,1
2,HID113431,1500,2
5,HID113460,1000,0.9
3,HID113655,0,0
5,HID113897,2000,1.17
5,HID113952,3700,1.84
6,HID113968,630,1.3
2,HID113990,10000,5
14,HID114080,8750,2.5
17,HID114096,8000,4.8
2,HID114186,2000,1
8,HID114252,2000,0.3
15,HID114366,1050,0.35
20,HID114482,3000,1
20,HID114551,1100,1
21,HID114611,500,0.1
8,HID114689,7800,2
17,HID114704,0,0
8,HID114730,0,0
17,HID114980,0,0
21,HID115123,0,0
21,HID115212,1800,0.47
8,HID115257,2000,0.61
21,HID115391,1250,0.4
7,HID115392,2080,0.88
3,HID115410,5800,2.4
22,HID115529,30000,26
21,HID115569,420,0.13
3,HID115584,5600,2.8
23,HID115626,0,0
22,HID115627,0,0
17,HID115740,4000,3
6,HID115743,0,0
5,HID115747,1200,0.45
14,HID115854,4000,1.7
2,HID115904,0,0
25,HID115977,0,0
5,HID116371,750,0.98
25,HID116534,8400,4
7,HID116575,1100,0.7
6,HID116661,0,0
