hhid,fhh,covid_shock,ag_comm,irrigation,drought,flood,extension_training,animal_ded_area,rice,feed_Chickens,feed_Cattle
HID100224,0,1,2,1,0,0,,1,1,1,
HID100368,0,1,2,1,0,1,,1,0,1,
HID100532,1,2,2,1,0,1,,1,1,1,
HID100543,1,1,2,1,0,0,,1,1,1,1
HID100682,0,1,2,,0,0,,1,0,2,
HID100967,0,2,2,1,1,0,,1,1,1,
HID101054,0,1,2,0,0,0,,1,0,1,
HID101094,0,2,2,1,0,0,,1,1,1,1
HID101229,0,1,2,0,1,0,,1,1,1,1
HID101249,0,1,2,1,0,0,,1,1,1,
HID101429,0,1,2,1,0,0,,1,1,2,
HID101461,0,1,1,1,0,0,,1,1,1,1
HID101580,1,1,2,0,0,0,,1,0,1,
HID101639,0,1,2,1,1,0,,1,1,1,
HID101666,0,1,2,0,0,1,,1,1,1,
HID101774,0,1,2,1,0,0,,1,0,1,
HID101853,0,1,2,1,0,0,,0,1,1,1
HID101901,1,1,2,1,0,0,,1,1,2,2
HID101937,0,1,2,1,0,0,,0,0,2,
HID102093,0,1,2,1,1,0,,1,0,2,
HID102185,1,1,2,1,0,0,,1,1,1,
HID102269,0,1,2,0,0,0,,1,1,2,
HID102336,0,1,2,1,0,0,,1,1,1,
HID102342,0,1,2,1,0,0,,1,0,2,
HID102398,0,2,2,1,0,0,,1,1,2,
HID102464,0,1,2,1,1,0,,1,1,1,
HID102469,1,1,2,1,0,1,,1,1,2,1
HID102658,0,1,2,1,0,0,,1,1,2,1
HID102760,0,2,2,,0,0,,1,0,1,
HID102780,0,1,2,1,0,1,,1,0,1,1
HID102869,0,1,2,0,0,0,,1,0,,2
HID102900,1,1,2,1,0,0,,1,1,1,
HID102936,0,1,2,1,0,0,,1,1,1,1
HID103054,0,1,2,1,0,0,,1,1,,
HID103069,1,1,2,1,0,0,,1,1,,1
HID103072,0,1,2,1,0,0,,1,1,2,1
HID103155,0,1,2,1,0,0,,1,1,1,1
HID103168,1,2,2,1,0,0,,1,0,,2
HID103193,0,1,1,1,0,1,,1,1,1,1
HID103228,1,1,2,1,0,0,,1,1,1,1
HID103377,0,1,2,1,1,0,,1,1,2,
HID103410,0,1,2,0,0,0,,0,0,1,
HID103456,0,1,2,1,0,0,,1,0,1,
HID103520,0,1,2,1,1,0,,1,1,2,
HID103658,0,1,2,0,0,1,,1,1,,1
HID103695,0,1,2,1,0,0,,1,1,2,1
HID103705,0,1,2,1,0,0,,1,1,1,1
HID103754,0,1,2,0,0,0,,1,0,2,
HID103871,0,1,2,0,0,0,,1,1,,1
HID103888,0,1,2,1,0,0,,1,1,1,
HID104066,0,1,2,1,0,0,,1,1,1,1
HID104070,0,1,2,1,0,0,,1,1,1,
HID104134,0,1,2,1,0,0,,1,1,1,
HID104161,0,2,2,1,0,0,,1,1,2,
HID104427,0,1,2,0,0,0,,1,1,2,1
HID104460,1,1,2,1,0,0,,1,1,,1
HID104658,0,1,2,1,1,0,,1,1,1,
HID104683,1,1,2,1,0,1,,1,1,1,
HID104701,1,1,2,1,0,0,,0,1,1,
HID104736,0,1,2,1,1,0,,0,1,2,
HID104757,1,1,2,1,0,0,,1,1,1,
HID104838,0,1,2,1,0,0,,1,1,2,
HID104888,0,1,2,1,0,0,,1,0,1,
HID104976,0,1,2,0,0,0,,1,0,1,
HID105088,0,1,2,1,0,0,,1,1,1,
HID105223,0,1,2,1,0,0,,1,0,1,
HID105238,0,1,2,0,0,0,,1,0,1,
HID105463,0,1,2,1,0,0,,1,0,1,
HID105512,0,1,2,,0,0,,1,0,1,1
HID105522,0,1,2,1,0,0,,1,1,1,
HID105558,1,1,2,1,0,0,,0,0,1,
HID105581,1,1,2,1,0,0,,1,0,1,
HID105651,1,1,2,1,0,1,,1,1,2,1
HID105671,0,1,2,0,1,0,,1,1,1,
HID105856,0,1,2,1,0,0,,1,1,2,1
HID106028,0,1,2,1,0,0,,1,1,1,1
HID106048,0,1,2,1,0,0,,1,1,1,1
HID106083,0,1,2,1,0,1,,1,1,1,1
HID106130,0,1,2,1,0,0,,1,1,1,1
HID106132,0,1,2,1,0,0,,0,0,1,
HID106578,0,1,2,0,0,1,,1,1,1,1
HID106595,0,1,2,0,0,0,,1,1,,1
HID106611,1,2,2,1,0,0,,1,1,2,
HID106688,0,1,2,1,1,0,,1,1,1,1
HID106860,0,1,2,1,0,0,,1,1,2,
HID106901,0,1,2,1,0,0,,1,1,1,1
HID106911,0,2,2,0,0,1,,1,1,2,1
HID107022,0,1,2,1,0,0,,1,1,1,
HID107133,0,1,2,,1,0,,1,0,2,
HID107170,0,1,2,1,1,0,,1,1,1,1
HID107498,1,1,2,1,0,0,,1,0,1,
HID107534,0,1,2,0,0,0,,1,1,1,
HID107761,0,1,2,1,0,0,,1,1,,
HID107814,0,1,2,1,0,0,,1,1,2,
HID107864,0,1,2,1,0,0,,1,1,1,1
HID107881,0,2,2,1,0,0,,1,1,1,
HID107911,0,1,2,1,0,0,,1,0,1,
HID107933,0,2,2,0,1,1,,1,1,1,
HID107972,1,1,2,0,0,1,,1,1,1,1
HID108148,1,1,2,0,0,0,,1,0,2,
HID108184,0,1,2,1,0,0,,1,1,1,
HID108232,0,2,2,1,1,0,,1,0,2,
HID108235,0,1,2,1,0,0,,1,1,1,
HID108427,0,1,2,1,0,0,,1,1,,1
HID108429,1,1,2,1,0,0,,1,1,2,
HID108438,0,1,2,1,0,0,,1,1,2,
HID108512,0,1,2,1,0,0,,1,1,1,
HID108514,0,2,2,0,0,0,,1,1,,1
HID108631,0,1,2,,0,0,,1,0,1,1
HID108721,0,2,2,1,0,0,1,1,1,,
HID108728,0,1,2,0,0,0,,1,1,1,
HID108753,0,1,2,1,0,0,,1,0,1,
HID108772,1,1,2,1,0,0,,1,0,1,
HID108792,0,1,2,1,1,0,,1,0,,2
HID108846,1,1,2,0,0,0,,1,0,1,
HID108992,0,1,2,1,0,0,,1,1,1,
HID108998,0,1,2,0,0,0,,1,1,1,1
HID109351,0,1,2,1,1,0,,1,1,2,
HID109386,0,1,2,1,0,0,,1,1,1,
HID109461,1,1,2,,0,1,,1,0,1,
HID109674,0,2,2,1,1,0,,1,1,1,
HID109737,0,1,2,1,0,0,,1,1,1,
HID109782,0,1,2,0,0,0,,1,1,1,
HID109810,1,1,2,1,0,0,,1,1,1,1
HID109882,1,1,2,1,0,0,,1,1,1,
HID110027,0,1,2,1,0,0,,1,1,1,
HID110108,1,1,2,1,0,0,,1,1,1,
HID110240,0,1,2,0,0,0,,1,1,1,
HID110284,1,1,2,0,0,1,,1,1,1,
HID110679,0,1,2,1,1,0,,1,1,1,
HID110713,1,1,2,1,0,0,,1,1,1,
HID110771,0,2,2,0,0,0,,1,1,1,
HID110801,0,1,2,0,0,0,,1,1,1,1
HID110921,0,1,2,1,0,0,,1,0,1,1
HID111135,1,1,2,1,0,1,,1,1,2,
HID111218,1,1,2,1,0,0,,0,1,1,
HID111255,0,1,2,1,0,0,,1,0,2,
HID111264,0,1,2,1,0,0,,1,0,1,1
HID111268,0,1,2,1,0,0,,1,1,,1
HID111387,0,1,2,1,0,0,,1,1,2,
HID111432,1,1,2,1,0,0,,1,1,1,1
HID111471,1,1,2,1,0,0,,1,1,1,1
HID111477,0,1,2,1,0,0,,1,1,,1
HID111781,0,1,2,1,0,0,,1,1,2,1
HID111841,1,1,2,1,0,0,,1,1,2,
HID111910,0,1,2,1,0,0,,1,0,2,
HID111913,0,1,2,1,0,0,,0,1,,1
HID111938,0,1,2,1,0,0,,1,0,1,
HID112165,1,1,2,1,0,0,,1,1,,1
HID112252,1,1,2,1,0,0,,1,1,1,
HID112413,0,1,2,0,1,0,,1,1,2,
HID112569,0,1,2,1,1,0,,1,1,1,1
