hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID100022,Kampong Speu,0,0,0,,,,,,,,
HID100123,Siem Reap,0,0,0,,,,,,,,
HID100505,Stung Treng,2,2,0,0,0,0,0,0,0,0,0
HID100568,Banteay Meanchey,1.5,1.5,2200,1500,700,0,0,0,0,0,0
HID100622,Siem Reap,2,2,0,0,0,0,0,0,0,0,0
HID100703,Kandal,1,1,0,0,0,0,0,0,0,0,0
HID100709,Banteay Meanchey,0,0,0,,,,,,,,
HID100767,Kampong Cham,0,0,0,,,,,,,,
HID100830,Banteay Meanchey,0,0,0,,,,,,,,
HID100960,Tboung Khmum,0,0,0,,,,,,,,
HID101040,Kep,.1049999967217445,.1049999967217445,0,0,0,0,0,0,0,0,0
HID101076,Kampot,.5,.5,0,0,0,0,0,0,0,0,0
HID101086,Battambang,0,0,0,,,,,,,,
HID101130,Kampot,.6000000238418579,.6000000238418579,4200,3600,600,0,0,0,0,0,0
HID101147,Tboung Khmum,0,0,0,,,,,,,,
HID101152,Banteay Meanchey,8,8,16000,6000,10000,0,0,0,0,0,0
HID101200,Takeo,1.799999952316284,1.799999952316284,4000,1000,3000,0,0,0,0,0,0
HID101213,Takeo,0,0,0,,,,,,,,
HID101260,Svay Rieng,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID101624,Siem Reap,2.900000095367432,2.900000095367432,4000,2000,2000,0,0,0,0,0,0
HID101636,Kampong Chhnang,.5,.5,0,0,0,0,0,0,0,0,0
HID101774,Prey Veng,1.509999990463257,1.509999990463257,3000,1500,1000,0,0,0,500,0,0
HID101937,Kampong Cham,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID102011,Ratanak Kiri,0,0,0,,,,,,,,
HID102100,Svay Rieng,.5,.5,0,0,0,0,0,0,0,0,0
HID102181,Prey Veng,1.100000023841858,1.100000023841858,7500,2500,5000,0,0,0,0,0,0
HID102229,Otdar Meanchey,2,2,0,0,0,0,0,0,0,0,0
HID102441,Kampong Cham,0,0,0,,,,,,,,
HID102496,Kampot,.6600000262260437,.6600000262260437,0,0,0,0,0,0,0,0,0
HID102562,Kandal,0,0,0,,,,,,,,
HID102779,Siem Reap,.5,.5,0,0,0,0,0,0,0,0,0
HID102839,Kandal,1.200000047683716,1.200000047683716,11000,1000,10000,0,0,0,0,0,0
HID102877,Banteay Meanchey,3.279999971389771,3.279999971389771,4000,1000,3000,0,0,0,0,0,0
HID102931,Kampong Cham,1.200000047683716,1.200000047683716,0,0,0,0,0,0,0,0,0
HID103006,Otdar Meanchey,1,1,0,0,0,0,0,0,0,0,0
HID103057,Prey Veng,.800000011920929,.800000011920929,0,0,0,0,0,0,0,0,0
HID103066,Kampong Speu,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID103140,Preah Sihanouk,0,0,0,,,,,,,,
HID103196,Preah Vihear,4,4,6000,2000,4000,0,0,0,0,0,0
HID103225,Takeo,1,1,6300,3300,3000,0,0,0,0,0,0
HID103340,Banteay Meanchey,3,3,3000,400,2000,0,0,0,600,0,0
HID103410,Mondul Kiri,0,0,0,,,,,,,,
HID103416,Kampong Chhnang,.8600000143051147,.8600000143051147,1050,750,300,0,0,0,0,0,0
HID103572,Prey Veng,.5,.5,0,0,0,0,0,0,0,0,0
HID103647,Takeo,1.279999971389771,1.279999971389771,3400,1750,1500,0,0,0,150,0,0
HID103775,Banteay Meanchey,0,0,0,,,,,,,,
HID103871,Kampong Cham,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID103915,Preah Vihear,1.5,1.5,0,0,0,0,0,0,0,0,0
HID103986,Phnom Penh,.2300000041723251,.2300000041723251,0,0,0,0,0,0,0,0,0
HID103990,Prey Veng,.5,1,0,0,0,0,0,0,0,0,0
HID104034,Takeo,.3799999952316284,.3799999952316284,0,0,0,0,0,0,0,0,0
HID104238,Takeo,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID104328,Svay Rieng,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID104349,Kampot,0,0,0,,,,,,,,
HID104451,Kampong Cham,0,0,0,,,,,,,,
HID104495,Kampong Chhnang,.9900000095367432,.9900000095367432,0,0,0,0,0,0,0,0,0
HID104497,Siem Reap,1,1,0,0,0,0,0,0,0,0,0
HID104607,Svay Rieng,2,2,0,0,0,0,0,0,0,0,0
HID104779,Kampong Speu,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID104786,Preah Vihear,2.5,3,0,0,0,0,0,0,0,0,0
HID104920,Siem Reap,.5,.5,0,0,0,0,0,0,0,0,0
HID104929,Kampot,0,0,0,,,,,,,,
HID105113,Kampong Cham,0,0,0,,,,,,,,
HID105181,Banteay Meanchey,1.850000023841858,2,8000,1000,7000,0,0,0,0,0,0
HID105281,Takeo,1.899999976158142,1.899999976158142,8000,1000,5000,0,0,0,1000,1000,0
HID105463,Prey Veng,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID105557,Kampot,0,0,0,,,,,,,,
HID105612,Kandal,.25,.25,0,0,0,0,0,0,0,0,0
HID105858,Kampong Speu,0,0,0,,,,,,,,
HID105861,Koh Kong,.1500000059604645,.1500000059604645,0,0,0,0,0,0,0,0,0
HID105878,Svay Rieng,4,4,59000,0,59000,0,0,0,0,0,0
HID105943,Kampong Chhnang,2.400000095367432,2.400000095367432,11000,1500,8000,1500,0,0,0,0,0
HID105944,Pursat,0,0,0,,,,,,,,
HID105976,Banteay Meanchey,2,2,0,0,0,0,0,0,0,0,0
HID106020,Battambang,5.5,5.5,10000,3000,7000,0,0,0,0,0,0
HID106089,Tboung Khmum,0,0,0,,,,,,,,
HID106192,Prey Veng,2,2,6000,1500,4260,0,0,0,240,0,0
HID106199,Kandal,0,0,0,,,,,,,,
HID106297,Kampot,.8999999761581421,.8999999761581421,3000,1500,1500,0,0,0,0,0,0
HID106338,Siem Reap,.550000011920929,.550000011920929,0,0,0,0,0,0,0,0,0
HID106354,Prey Veng,0,0,0,,,,,,,,
HID106381,Kandal,.5,.5,0,0,0,0,0,0,0,0,0
HID106472,Takeo,.7300000190734863,.7300000190734863,1400,770,220,200,0,100,110,0,0
HID106720,Kampong Speu,0,0,0,,,,,,,,
HID106741,Kampong Cham,0,0,0,,,,,,,,
HID106763,Prey Veng,2.5,2.5,1500,1000,0,0,0,0,500,0,0
HID106833,Kampot,0,0,0,0,0,0,0,0,0,0,0
HID106842,Otdar Meanchey,3,3,5000,3000,2000,0,0,0,0,0,0
HID107036,Banteay Meanchey,0,0,0,,,,,,,,
HID107054,Prey Veng,.0500000007450581,.0500000007450581,0,0,0,0,0,0,0,0,0
HID107178,Kandal,.6000000238418579,.6000000238418579,6400,1400,4800,0,0,0,200,0,0
HID107233,Prey Veng,.7900000214576721,.7900000214576721,2005,1200,500,25,0,0,250,30,0
HID107298,Mondul Kiri,0,0,0,,,,,,,,
HID107333,Ratanak Kiri,0,0,0,,,,,,,,
