hhid,province,zone,area_rice_harvested,qty_rice_harvested
HID100224,21,Plain,.6,1500
HID100368,8,Plain,0,0
HID100419,6,Tonle Sap,2.36,14000
HID100532,21,Plain,1.5,24000
HID100543,22,Tonle Sap,.03,200
HID100682,9,Coastal,0,0
HID100914,19,Mountain,0,0
HID100967,14,Plain,2.3,5000
HID101054,3,Plain,0,0
HID101094,13,Mountain,2.5,7000
HID101229,4,Tonle Sap,.3,2280
HID101249,14,Plain,2.05,10500
HID101429,25,Plain,3.9,9000
HID101461,7,Coastal,.4,935
HID101580,20,Plain,0,0
HID101639,1,Tonle Sap,2,400
HID101666,25,Plain,1,2400
HID101774,19,Mountain,0,0
HID101781,25,Plain,.6,2000
HID101853,5,Mountain,.3,400
HID101901,4,Tonle Sap,.91,1150
HID101937,25,Plain,0,0
HID102093,1,Tonle Sap,0,0
HID102146,8,Plain,.24,700
HID102154,21,Plain,.1,600
HID102185,22,Tonle Sap,1,2000
HID102223,12,Plain,.28,900
HID102269,25,Plain,.53,4000
HID102336,14,Plain,1,2775
HID102342,13,Mountain,0,0
HID102398,4,Tonle Sap,1.6,23000
HID102464,6,Tonle Sap,.5,500
HID102469,14,Plain,.5,1400
HID102510,16,Mountain,0,0
HID102593,12,Plain,0,0
HID102658,7,Coastal,.3,750
HID102760,1,Tonle Sap,0,0
HID102780,25,Plain,0,0
HID102869,8,Plain,0,0
HID102900,3,Plain,.3,630
HID102936,14,Plain,1.08,3300
HID103054,2,Tonle Sap,1.2,2700
HID103069,3,Plain,.63,3000
HID103072,6,Tonle Sap,2.233,3675
HID103155,5,Mountain,2.2,5000
HID103168,17,Tonle Sap,0,0
HID103184,7,Coastal,.485,900
HID103193,10,Mountain,4,5000
HID103228,6,Tonle Sap,.7,600
HID103377,1,Tonle Sap,12.5,25000
HID103410,7,Coastal,0,0
HID103456,16,Mountain,0,0
HID103520,1,Tonle Sap,1,1500
HID103658,14,Plain,.7,1900
HID103695,11,Mountain,1.5,4000
HID103705,17,Tonle Sap,0,0
HID103754,4,Tonle Sap,0,0
HID103871,5,Mountain,.3,800
HID103888,10,Mountain,3,6000
HID104066,7,Coastal,.25,550
HID104070,17,Tonle Sap,.5,1500
HID104134,14,Plain,1.07,2250
HID104161,2,Tonle Sap,18,80000
HID104427,14,Plain,.27,3300
HID104460,25,Plain,.4,1000
HID104658,10,Mountain,.7,1650
HID104683,22,Tonle Sap,.8,600
HID104701,14,Plain,7,35000
HID104736,1,Tonle Sap,2.5,1800
HID104757,21,Plain,1.2,3500
HID104838,21,Plain,.25,600
HID104888,17,Tonle Sap,0,0
HID104976,10,Mountain,0,0
HID105088,5,Mountain,.9,4000
HID105223,12,Plain,0,0
HID105238,10,Mountain,0,0
HID105396,3,Plain,1.5,5600
HID105421,25,Plain,.2,600
HID105463,8,Plain,0,0
HID105512,10,Mountain,0,0
HID105522,21,Plain,.3,900
HID105558,13,Mountain,0,0
HID105581,8,Plain,0,0
HID105641,15,Tonle Sap,.5,1000
HID105651,14,Plain,.7,2200
HID105671,14,Plain,.75,3800
HID105679,25,Plain,1.5,2000
HID105749,14,Plain,2,7000
HID105856,7,Coastal,1.15,2000
HID106028,21,Plain,.5,2000
HID106048,20,Plain,.57,900
HID106083,13,Mountain,2,350
HID106130,8,Plain,.035,250
HID106132,18,Coastal,0,0
HID106578,3,Plain,.7,1000
HID106595,14,Plain,1.5,1500
HID106611,9,Coastal,1,2000
HID106654,21,Plain,4,20000
HID106688,22,Tonle Sap,3.7,8000
HID106760,2,Tonle Sap,1,7000
HID106860,7,Coastal,7.5,13885
HID106901,14,Plain,1.5,4000
HID106911,2,Tonle Sap,.16,800
HID107022,5,Mountain,.6699999999999999,1675
HID107133,2,Tonle Sap,0,0
HID107170,4,Tonle Sap,.416,300
HID107299,3,Plain,0,0
HID107498,,,0,0
HID107534,4,Tonle Sap,.44,1800
HID107651,25,Plain,0,0
HID107761,12,Plain,1.2,2100
HID107814,7,Coastal,.7,2000
HID107864,5,Mountain,1.7,3100
HID107881,13,Mountain,4,8000
HID107911,3,Plain,0,0
HID107933,2,Tonle Sap,11,30000
HID107972,14,Plain,.8,2400
HID108148,17,Tonle Sap,0,0
HID108184,3,Plain,.5,600
HID108232,1,Tonle Sap,0,0
HID108235,5,Mountain,.4,500
HID108427,3,Plain,1,3000
HID108429,5,Mountain,.15,300
HID108438,20,Plain,6,20000
HID108512,8,Plain,.5,1000
HID108514,25,Plain,.4,720
HID108631,5,Mountain,0,0
HID108721,16,Mountain,1,1100
HID108728,3,Plain,.63,1200
HID108753,3,Plain,0,0
HID108772,4,Tonle Sap,0,0
HID108792,2,Tonle Sap,0,0
HID108846,8,Plain,0,0
HID108992,20,Plain,.86,800
HID108998,3,Plain,1.4,6000
HID109351,2,Tonle Sap,4,6000
HID109386,1,Tonle Sap,3.5,7000
HID109461,17,Tonle Sap,0,0
HID109598,8,Plain,0,0
HID109674,1,Tonle Sap,1.5,3000
HID109737,10,Mountain,2,8000
HID109782,8,Plain,.7,2000
HID109810,20,Plain,.2,500
HID109882,14,Plain,.6,1250
HID110027,18,Coastal,2.2,5000
HID110108,21,Plain,.4,1500
HID110228,3,Plain,.74,2100
HID110240,10,Mountain,4,15000
HID110284,2,Tonle Sap,6,20000
HID110583,3,Plain,.12,360
HID110679,1,Tonle Sap,1.5,2000
HID110713,3,Plain,.7,900
HID110771,25,Plain,.5,1000
HID110801,25,Plain,1.4,3000
HID110921,20,Plain,0,0
HID111135,9,Coastal,.25,250
HID111218,6,Tonle Sap,.4,500
HID111255,17,Tonle Sap,0,0
HID111264,3,Plain,0,0
HID111268,21,Plain,.6,1500
HID111387,8,Plain,.25,1300
HID111432,7,Coastal,.79,2100
HID111471,20,Plain,1.1,2500
HID111477,17,Tonle Sap,.1,500
HID111500,17,Tonle Sap,1,500
HID111781,17,Tonle Sap,2,4500
HID111841,2,Tonle Sap,6,16000
HID111910,2,Tonle Sap,0,0
HID111913,5,Mountain,.4,1000
HID111938,10,Mountain,0,0
HID112078,3,Plain,.88,2000
HID112165,17,Tonle Sap,1,2000
HID112252,5,Mountain,.4,800
HID112413,8,Plain,1.5,30000
HID112569,4,Tonle Sap,5,13700
HID112624,22,Tonle Sap,3.5,10000
HID112681,3,Plain,1,10000
HID112689,20,Plain,.18,600
HID112695,21,Plain,.45,1500
HID112714,13,Mountain,0,0
HID112719,5,Mountain,.53,2200
HID112794,6,Tonle Sap,0,0
HID112852,4,Tonle Sap,.64,3000
HID113000,21,Plain,.09,200
HID113021,6,Tonle Sap,6,23000
HID113136,10,Mountain,0,0
HID113198,5,Mountain,1,1500
HID113262,7,Coastal,0,0
HID113322,8,Plain,1,7300
HID113341,6,Tonle Sap,.9,1200
HID113359,4,Tonle Sap,1,1500
HID113431,2,Tonle Sap,2,1500
HID113460,5,Mountain,.9,1000
HID113655,3,Plain,0,0
HID113677,3,Plain,.5,700
HID113724,17,Tonle Sap,0,0
HID113788,17,Tonle Sap,0,0
HID113897,5,Mountain,1.17,2000
HID113952,5,Mountain,1.84,3700
HID113968,6,Tonle Sap,1.3,630
HID113990,2,Tonle Sap,5,10000
HID114080,14,Plain,2.5,8750
HID114096,17,Tonle Sap,4.8,8000
HID114186,2,Tonle Sap,1,2000
HID114252,8,Plain,.3,2000
HID114366,15,Tonle Sap,.35,1050
HID114482,20,Plain,1,3000
HID114551,20,Plain,1,1100
HID114611,21,Plain,.1,500
HID114653,21,Plain,.5,500
HID114689,8,Plain,2,7800
HID114704,17,Tonle Sap,0,0
HID114730,8,Plain,0,0
HID114876,5,Mountain,2,2500
HID114980,17,Tonle Sap,0,0
HID115123,21,Plain,0,0
HID115212,21,Plain,.47,1800
HID115249,15,Tonle Sap,.23,1200
HID115257,8,Plain,.61,2000
HID115391,21,Plain,.4,1250
HID115392,7,Coastal,.88,2080
HID115410,3,Plain,2.4,5800
HID115529,22,Tonle Sap,26,30000
HID115569,21,Plain,.13,420
HID115584,3,Plain,2.8,5600
HID115626,23,Coastal,0,0
HID115627,22,Tonle Sap,0,0
HID115725,6,Tonle Sap,.55,1105
HID115740,17,Tonle Sap,3,4000
HID115743,6,Tonle Sap,0,0
HID115747,5,Mountain,.45,1200
HID115854,14,Plain,1.7,4000
HID115871,25,Plain,.5,500
HID115904,2,Tonle Sap,0,0
HID115977,25,Plain,0,0
HID115995,3,Plain,1.5,11200
HID116003,4,Tonle Sap,2,2950
HID116371,5,Mountain,.98,750
HID116414,2,Tonle Sap,3,1000
HID116518,25,Plain,.5,420
HID116534,25,Plain,4,8400
HID116575,7,Coastal,.7,1100
HID116661,6,Tonle Sap,0,0
HID116789,17,Tonle Sap,0,0
HID116889,4,Tonle Sap,0,0
HID117044,24,Tonle Sap,0,0
HID117166,14,Plain,1.1,6000
HID117174,2,Tonle Sap,.24,800
HID117210,25,Plain,0,0
HID117269,25,Plain,.4,720
HID117397,17,Tonle Sap,.7,1500
HID117515,1,Tonle Sap,0,0
HID117714,2,Tonle Sap,9,16500
HID117744,14,Plain,0,0
HID117824,7,Coastal,.68,1070
HID117853,7,Coastal,0,0
HID117928,21,Plain,0,0
HID118036,7,Coastal,1.21,2750
HID118073,14,Plain,1.64,2500
HID118110,2,Tonle Sap,5,10000
HID118174,10,Mountain,0,0
HID118177,7,Coastal,.5,1000
HID118288,8,Plain,0,0
HID118482,25,Plain,0,0
HID118603,8,Plain,0,0
HID118622,15,Tonle Sap,0,0
HID118759,7,Coastal,0,0
HID118845,2,Tonle Sap,4,18000
HID119063,2,Tonle Sap,0,0
HID119064,,,0,0
HID119074,3,Plain,.6899999999999999,1400
HID119102,5,Mountain,.15,700
HID119117,,,0,0
HID119134,25,Plain,0,0
HID119145,15,Tonle Sap,2,800
HID119343,8,Plain,0,0
HID119378,25,Plain,0,0
HID119393,19,Mountain,0,0
HID119470,2,Tonle Sap,0,0
HID119540,21,Plain,.4,2400
HID119613,24,Tonle Sap,0,0
HID119701,3,Plain,0,0
HID119707,8,Plain,0,0
HID119811,25,Plain,0,0
HID119850,2,Tonle Sap,0,0
HID119860,25,Plain,.5,1575
HID119874,17,Tonle Sap,3.5,6000
HID119895,3,Plain,1.5,3900
HID119899,7,Coastal,.3,760
HID120023,21,Plain,.6,2100
HID120154,2,Tonle Sap,.5,1200
HID120206,7,Coastal,0,0
HID120345,10,Mountain,1.5,3000
HID120414,14,Plain,1.71,4900
HID120453,8,Plain,0,0
HID120487,5,Mountain,.7,2400
HID120524,1,Tonle Sap,0,0
HID120619,2,Tonle Sap,0,0
HID120683,14,Plain,.4,1950
HID120947,2,Tonle Sap,0,0
HID120976,18,Coastal,0,0
HID121031,13,Mountain,6,4000
HID121121,17,Tonle Sap,0,0
HID121348,5,Mountain,0,0
HID121372,7,Coastal,0,0
HID121373,15,Tonle Sap,.3,800
HID121412,13,Mountain,0,0
HID121420,21,Plain,.3,1000
HID121476,2,Tonle Sap,2,5525
HID121479,3,Plain,0,0
HID121521,21,Plain,.5,2000
HID121638,21,Plain,3.42,19400
HID121692,25,Plain,0,0
HID121877,17,Tonle Sap,.43,1000
HID121908,7,Coastal,7,50000
HID121953,3,Plain,0,0
HID121972,6,Tonle Sap,.3,720
HID121990,20,Plain,0,0
HID122035,7,Coastal,.3,1100
HID122113,15,Tonle Sap,0,0
HID122130,6,Tonle Sap,2,10000
HID122149,1,Tonle Sap,5,4000
HID122382,3,Plain,0,0
HID122472,14,Plain,0,0
HID122488,15,Tonle Sap,1.4,550
HID122500,8,Plain,10,50000
HID122663,4,Tonle Sap,.5,1000
HID122733,5,Mountain,0,0
HID122787,11,Mountain,0,0
HID122919,17,Tonle Sap,0,0
HID122920,10,Mountain,2,2500
HID122992,11,Mountain,1,2500
HID123010,19,Mountain,0,0
HID123039,15,Tonle Sap,0,0
HID123179,14,Plain,.75,500
HID123283,7,Coastal,1.09,2300
HID123382,2,Tonle Sap,1,3000
HID123527,21,Plain,.95,1000
HID123588,6,Tonle Sap,1,1200
HID123638,22,Tonle Sap,0,0
HID123680,7,Coastal,.3,1350
HID123685,25,Plain,.4,1200
HID123694,21,Plain,.4,500
HID123696,1,Tonle Sap,2,800
HID123727,3,Plain,0,0
HID123771,7,Coastal,0,0
HID123780,6,Tonle Sap,0,0
HID123794,7,Coastal,1,3600
HID123797,7,Coastal,.9352,4365
HID123830,14,Plain,2.05,2500
HID123865,6,Tonle Sap,1,1600
HID123955,24,Tonle Sap,0,0
HID124040,7,Coastal,0,0
HID124095,21,Plain,1,10500
HID124140,2,Tonle Sap,0,0
HID124200,14,Plain,.65,1700
HID124209,10,Mountain,0,0
HID124219,18,Coastal,3.5,7000
HID124324,25,Plain,.4,1040
HID124360,7,Coastal,.23,900
HID124568,5,Mountain,.3,688
HID124582,2,Tonle Sap,.7,2000
HID124605,7,Coastal,2.7,7050
HID124616,7,Coastal,2.992,5000
HID125113,14,Plain,2.42,4200
HID125133,13,Mountain,10,16500
HID125173,16,Mountain,1,2000
HID125372,14,Plain,0,0
HID125402,3,Plain,.25,600
HID125435,21,Plain,.24,550
HID125459,21,Plain,.5,2500
HID125469,14,Plain,2.5,14040
HID125472,14,Plain,.15,2000
HID125549,25,Plain,0,0
HID125552,7,Coastal,.1,400
HID125567,10,Mountain,10,4000
HID125572,13,Mountain,9,8000
HID125632,6,Tonle Sap,0,0
HID125640,15,Tonle Sap,2,2100
HID125654,4,Tonle Sap,1.7109,5600
HID125678,24,Tonle Sap,0,0
HID125683,2,Tonle Sap,0,0
HID125702,17,Tonle Sap,1,900
HID125854,4,Tonle Sap,.35,1910
HID125929,14,Plain,1,1500
HID126001,5,Mountain,.3,400
HID126004,9,Coastal,0,0
HID126037,20,Plain,3,8500
HID126115,5,Mountain,.24,500
HID126124,25,Plain,.5,1120
HID126274,20,Plain,2.7,15000
HID126542,2,Tonle Sap,0,0
HID126560,6,Tonle Sap,.5,240
HID126607,6,Tonle Sap,.4,1800
HID126711,14,Plain,.2,350
HID126875,7,Coastal,.2,600
HID126903,25,Plain,0,0
HID127043,2,Tonle Sap,7,14000
HID127182,12,Plain,0,0
HID127264,25,Plain,.7,2000
HID127325,8,Plain,0,0
HID127342,14,Plain,.3,1200
HID127385,2,Tonle Sap,1,2500
HID127537,12,Plain,0,0
HID127713,5,Mountain,.5,1000
HID127726,5,Mountain,.25,1000
HID127761,14,Plain,.8999999999999999,4800
HID127874,21,Plain,.74,3000
HID127926,17,Tonle Sap,1,2500
HID127981,1,Tonle Sap,0,0
HID128062,13,Mountain,.5,1000
HID128093,25,Plain,.5,1800
HID128191,1,Tonle Sap,1,2000
HID128233,7,Coastal,2.3,3000
HID128352,14,Plain,.3,1350
HID128462,5,Mountain,1.81,2000
HID128486,20,Plain,.43,1700
HID128496,5,Mountain,1.18,3050
HID128578,20,Plain,0,0
HID128603,14,Plain,0,0
HID128617,16,Mountain,1,900
HID128632,3,Plain,0,0
HID128685,6,Tonle Sap,0,0
HID128697,14,Plain,1.4,3800
HID128773,21,Plain,.39,1040
HID128791,21,Plain,3.78,78000
HID128951,4,Tonle Sap,.7,2000
HID128989,4,Tonle Sap,0,0
HID129242,7,Coastal,.91,1740
HID129327,8,Plain,0,0
HID129339,15,Tonle Sap,1.9,2450
HID129376,10,Mountain,1.7,1500
HID129395,2,Tonle Sap,3,10000
HID129495,8,Plain,1.3,7500
HID129595,4,Tonle Sap,.5,600
HID129600,8,Plain,2.5,7950
HID129665,19,Mountain,1,320
HID129788,1,Tonle Sap,0,0
HID129804,4,Tonle Sap,1.18,2800
HID129856,4,Tonle Sap,.3999,1260
HID130039,4,Tonle Sap,4.2,30000
HID130098,14,Plain,2.55,18000
HID130104,14,Plain,0,0
HID130130,14,Plain,.1,200
HID130165,4,Tonle Sap,.35,400
HID130174,15,Tonle Sap,.4,750
HID130208,1,Tonle Sap,0,0
HID130216,6,Tonle Sap,3,10000
HID130238,21,Plain,.05,700
HID130257,14,Plain,.4,960
HID130357,21,Plain,.25,420
HID130712,2,Tonle Sap,0,0
HID130750,6,Tonle Sap,.5,900
HID130813,1,Tonle Sap,1,2000
HID130830,17,Tonle Sap,.9,1500
HID130838,2,Tonle Sap,.66,5000
HID130860,8,Plain,.2,600
HID130939,10,Mountain,0,0
HID130993,4,Tonle Sap,.5,1500
HID131059,17,Tonle Sap,1,6000
HID131219,20,Plain,5,40000
HID131233,15,Tonle Sap,.8,1500
HID131253,25,Plain,.8,1500
HID131255,12,Plain,0,0
HID131297,8,Plain,0,0
HID131360,8,Plain,0,0
HID131367,3,Plain,1.2,2000
HID131391,20,Plain,4,2200
HID131476,17,Tonle Sap,1.7,8000
HID131481,,,.8,1250
HID131524,21,Plain,.14,250
HID131577,2,Tonle Sap,1,2000
HID131625,9,Coastal,0,0
HID131660,2,Tonle Sap,.5,1500
HID131683,20,Plain,.75,3500
HID131959,17,Tonle Sap,0,0
HID132027,10,Mountain,0,0
HID132099,25,Plain,.95,2000
HID132118,5,Mountain,1.17,2000
HID132326,25,Plain,0,0
HID132405,7,Coastal,2.3853,4500
HID132464,20,Plain,0,0
HID132468,2,Tonle Sap,0,0
HID132476,3,Plain,.1,150
HID132628,3,Plain,0,0
HID132682,3,Plain,0,0
HID132734,2,Tonle Sap,2,1000
HID132754,7,Coastal,.1,450
HID132779,8,Plain,0,0
HID132902,21,Plain,.5,1000
HID132919,21,Plain,.3,490
HID132977,21,Plain,14,80000
HID133048,25,Plain,.35,650
HID133075,10,Mountain,0,0
HID133128,14,Plain,.5,2500
HID133163,7,Coastal,1,3000
HID133182,8,Plain,1,2500
HID133211,21,Plain,0,0
HID133327,21,Plain,.15,150
HID133362,14,Plain,1.55,4750
HID133374,6,Tonle Sap,0,0
HID133384,17,Tonle Sap,1.5,1500
HID133542,16,Mountain,1,800
HID133671,3,Plain,0,0
HID133815,17,Tonle Sap,0,0
HID133823,13,Mountain,1.5,4500
HID133880,5,Mountain,.18,562
HID133882,2,Tonle Sap,0,0
HID133965,15,Tonle Sap,0,0
HID134038,21,Plain,.16,480
HID134148,6,Tonle Sap,.5,800
HID134359,3,Plain,0,0
HID134360,20,Plain,.5,1000
HID134368,25,Plain,0,0
HID134384,5,Mountain,.12,200
HID134670,2,Tonle Sap,3,2500
HID134701,8,Plain,0,0
HID134757,19,Mountain,1,600
HID134870,8,Plain,0,0
HID134919,14,Plain,4.5,15000
HID134975,7,Coastal,.076,500
