hhid,province,raised_Poultry,raised_cattle_buffalo,raised_Livestock,raised_Livestock_Poultry,ag_area,ag_hh,zone,fhh,edu_hh,edu_hh_head,covid_shock,ag_comm,ag_assoc,ag_comm_assoc,animal_area,animal_ded_area,homelot_area,parcel_area,holding_area,animal_area_rate,rice,rice_harv_sold_pct,sold_rice,rice_area_agland_pct,rice_area_total_pct,rice_price_impt,value_rice_prod,rice_price,cashew,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,qty_cashew_gift,qty_cashew_pay,qty_cashew_feed,qty_cashew_seed,qty_cashew_lost,qty_cashew_processed,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,cashew_price_impt,value_cashew_prod,cashew_price,animal_disease,irrigation,drought,flood,ag_extension_training,family_hours,family_full_days,family_work_days
HID100224,21,1,0,0,1,.6204,1,Plain,0,2,1,0,0,0,0,.0003999999898952,1,.05,.6,.64999998,.0006153846,1,0,0,.96711797,.92307693,1,2790000,930,0,,,,,,,,,,,,,,,,0,,,1,0,0,0,1,376,47,212
HID100368,8,1,0,1,1,.0815,1,Plain,0,2,2,0,0,0,0,.0015000000130385,1,.109,,.109,.013761468,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,0,600,75,300
HID100419,6,,,,,2.5432,1,Tonle Sap,0,1,1,0,1,0,1,,0,.2,2.36,2.5599999,,1,.42857143,1,.92796475,.921875,0,19600000,700,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,1,280,35,100
HID100532,21,1,0,0,1,1.507,1,Plain,1,2,1,1,0,0,0,.0020000000949949,1,.064,1.5,1.564,.0012787725,1,.5,1,.99535501,.95907927,0,42240000,880,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,0,540,67.5,135
HID100535,17,,,,,.006,1,Tonle Sap,1,3,1,0,0,0,0,,0,.099,,.098999999,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,436,54.5,236
HID100543,22,1,1,1,1,.0305,1,Tonle Sap,1,1,1,0,0,0,0,.0005000000237487,1,.078,.03,.108,.0046296297,1,0,0,.98360658,.27777776,1,340000,850,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1920,240,240
HID100682,9,1,0,0,1,.0012,1,Coastal,0,2,2,0,0,0,0,.0012000000569969,1,.03,,.029999999,.040000003,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,528,66,264
HID100914,19,,,,,35,1,Mountain,0,1,1,0,0,0,0,,0,.106,20,20.106001,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,56,7,7
HID100967,14,1,0,0,1,2.601,1,Plain,0,3,2,1,0,0,0,.0010000000474975,1,.4,2.3,2.7,.00037037037,1,.30000001,1,.88427526,.85185182,0,9000000,900,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,0,1870,233.75,734
HID101054,3,1,0,0,1,.006,1,Plain,0,1,1,0,0,0,0,.0010000000474975,1,.035,,.035,.028571431,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,240,30,240
HID101094,13,1,1,1,1,4.612,1,Mountain,0,2,1,1,0,1,0,.0120000001043081,1,.3,4.5,4.8000002,.0024999999,1,.25,1,.54206419,.52083331,0,15400000,1100,1,2,2,600,0,300,,,,,,0,.5,1,.43365136,.41666666,0,2700000,4500,0,0,0,0,1,1946,243.25,306
HID101229,4,1,1,1,1,.405,1,Tonle Sap,0,2,1,0,0,0,0,.0020000000949949,1,.03,.4,.43000001,.0046511628,1,.10964912,1,.74074072,.69767439,0,4560000,1000,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,0,5280,660,840
HID101249,14,1,0,0,1,2.0566,1,Plain,0,3,2,0,0,0,0,.0006000000284985,1,.3,2.05,2.3499999,.00025531917,1,.30952382,1,.99679083,.87234044,0,16800000,800,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,95,11.875,55
HID101275,9,,,,,0,0,Coastal,0,1,0,0,0,0,0,,0,.0098,,.0098000001,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,,0,0,1,1420,177.5,280
HID101429,25,1,0,0,1,4.0012,1,Plain,0,1,1,0,0,0,0,.0010000000474975,1,.1122,3.7,3.8122001,.00026231573,1,.44444445,1,.9747076,1.0230314,0,18900000,1050,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,300,37.5,75
HID101461,7,1,1,1,1,.4046,1,Coastal,0,2,1,0,1,1,1,.0006000000284985,1,.12,.4,.51999998,.0011538463,1,0,0,.98863077,.76923078,1,1907400,1020,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,90,11.25,18
HID101580,20,1,0,0,1,.016,1,Plain,1,2,2,0,0,0,0,.003000000026077,1,.2,1.1,1.3,.0023076923,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,570,71.25,390
HID101639,1,1,0,0,1,2.0031,1,Tonle Sap,0,2,1,0,0,0,0,.0006000000284985,1,.0858,,.0858,.0069930074,1,0,0,.99845243,23.310024,1,720000,900,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,288,36,36
HID101666,25,1,0,0,1,1.3003,1,Plain,0,2,1,0,0,0,0,.0003000000142492,1,.075,1.3,1.375,.00021818183,1,.1875,1,.76905328,.72727275,0,5040000,1050,0,,,,,,,,,,,,,,,,0,,,0,1,0,1,0,380,47.5,160
HID101774,19,1,0,0,1,10.001,1,Mountain,0,3,2,0,0,0,0,.0010000000474975,1,.003,10,10.003,.000099970013,0,,,,,0,,,1,10,10,6000,0,3000,,,,,,0,.5,1,.99989998,.99970007,0,24000000,4000,0,0,0,0,0,776,97,97
