hhid,feed_Chickens,form_contract_Chickens,contract_coverage_Chickens,num_Chickens,births_Chickens,bought_received_Chickens,deaths_Chickens,sold_Chickens,sale_ppkg_Chickens,stolen_Chickens,gift_Chickens,slghtr_Chickens,num_vax_Chickens,months_eggs_collected_Chickens,days_month_eggs_collect_Chickens,daily_avg_egg_prod_Chickens,egg_price_Chickens,provision_feed_Chickens,for_sale_live_Chickens,for_gift_Chickens,for_meat_Chickens,for_eggs_total_Chickens,for_eggs_sale_Chickens,for_eggs_consump_Chickens,for_eggs_gift_Chickens,for_eggs_other_Chickens,growth_Chickens,loss_Chickens,net_growth_Chickens,num_start_Chickens,growth_pct_Chickens,loss_pct_Chickens,net_growth_pct_Chickens,peak_num_Chickens,mortality_rt_Chickens,vax_pct_Chickens,vax_Chickens,eggs_total_prod_Chickens,eggs_prod_annualized_Chickens,eggs_lost_pct_Chickens,eggs_kept_pct_Chickens,eggs_kept_Chickens,eggs_lost_Chickens,eggs_own_consump_pct_Chickens,eggs_own_consump_Chickens,eggs_sold_pct_Chickens,eggs_sold_Chickens,egg_price_prov_med_Chickens,egg_price_obs_Chickens,egg_price_impt_Chickens,egg_price_natl_med_Chickens,eggs_value_lost_Chickens,eggs_value_cultiv_Chickens,eggs_value_consump_Chickens,eggs_revenue_Chickens,ppkg_prov_med_Chickens,sale_ppkg_obs_Chickens,sale_ppkg_impt_Chickens,ppkg_natl_med_Chickens,sale_price_Chickens,sale_revenue_Chickens,slghtr_unit_value_Chickens,slghtr_value_Chickens,prod_value_Chickens,feed_Ducks,form_contract_Ducks,contract_coverage_Ducks,num_Ducks,births_Ducks,bought_received_Ducks,deaths_Ducks,sold_Ducks,sale_ppkg_Ducks,stolen_Ducks,gift_Ducks,slghtr_Ducks,num_vax_Ducks,months_eggs_collected_Ducks,days_month_eggs_collect_Ducks,daily_avg_egg_prod_Ducks,egg_price_Ducks,provision_feed_Ducks,for_sale_live_Ducks,for_gift_Ducks,for_meat_Ducks,for_eggs_total_Ducks,for_eggs_sale_Ducks,for_eggs_consump_Ducks,for_eggs_gift_Ducks,for_eggs_other_Ducks,growth_Ducks,loss_Ducks,net_growth_Ducks,num_start_Ducks,growth_pct_Ducks,loss_pct_Ducks,net_growth_pct_Ducks,peak_num_Ducks,mortality_rt_Ducks,vax_pct_Ducks,vax_Ducks,eggs_total_prod_Ducks,eggs_prod_annualized_Ducks,eggs_lost_pct_Ducks,eggs_kept_pct_Ducks,eggs_kept_Ducks,eggs_lost_Ducks,eggs_own_consump_pct_Ducks,eggs_own_consump_Ducks,eggs_sold_pct_Ducks,eggs_sold_Ducks,egg_price_prov_med_Ducks,egg_price_obs_Ducks,egg_price_impt_Ducks,egg_price_natl_med_Ducks,eggs_value_lost_Ducks,eggs_value_cultiv_Ducks,eggs_value_consump_Ducks,eggs_revenue_Ducks,ppkg_prov_med_Ducks,sale_ppkg_obs_Ducks,sale_ppkg_impt_Ducks,ppkg_natl_med_Ducks,sale_price_Ducks,sale_revenue_Ducks,slghtr_unit_value_Ducks,slghtr_value_Ducks,prod_value_Ducks,feed_Geese,form_contract_Geese,contract_coverage_Geese,num_Geese,births_Geese,bought_received_Geese,deaths_Geese,sold_Geese,sale_ppkg_Geese,stolen_Geese,gift_Geese,slghtr_Geese,num_vax_Geese,months_eggs_collected_Geese,days_month_eggs_collect_Geese,daily_avg_egg_prod_Geese,egg_price_Geese,provision_feed_Geese,for_sale_live_Geese,for_gift_Geese,for_meat_Geese,for_eggs_total_Geese,for_eggs_sale_Geese,for_eggs_consump_Geese,for_eggs_gift_Geese,for_eggs_other_Geese,growth_Geese,loss_Geese,net_growth_Geese,num_start_Geese,growth_pct_Geese,loss_pct_Geese,net_growth_pct_Geese,peak_num_Geese,mortality_rt_Geese,vax_pct_Geese,vax_Geese,eggs_total_prod_Geese,eggs_prod_annualized_Geese,eggs_lost_pct_Geese,eggs_kept_pct_Geese,eggs_kept_Geese,eggs_lost_Geese,eggs_own_consump_pct_Geese,eggs_own_consump_Geese,eggs_sold_pct_Geese,eggs_sold_Geese,egg_price_prov_med_Geese,egg_price_obs_Geese,egg_price_impt_Geese,egg_price_natl_med_Geese,eggs_value_lost_Geese,eggs_value_cultiv_Geese,eggs_value_consump_Geese,eggs_revenue_Geese,ppkg_prov_med_Geese,sale_ppkg_obs_Geese,sale_ppkg_impt_Geese,ppkg_natl_med_Geese,sale_price_Geese,sale_revenue_Geese,slghtr_unit_value_Geese,slghtr_value_Geese,prod_value_Geese,province
HID100224,1,0,,40,35,0,20,0,16000,4,0,15,0,,,,,0,0,0,1,0,0,0,0,0,35,39,-4,44,.79545456,.88636363,-.090909094,79,.25316456,0,0,,,,,,,,,,,500,,,800,,,,,16000,,16000,16000,22560,,22560,338400,338400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
HID100368,1,0,,200,0,0,0,30,18000,0,0,15,200,,,,,0,1,0,1,0,0,0,0,0,0,45,-45,245,0,.18367347,-.18367347,245,0,.81632656,1,,,,,,,,,,,1000,,,800,,,,,18000,18000,,16000,25380,761400,25380,380700,1142100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
HID100532,1,0,,30,40,0,20,10,18000,0,0,20,0,,,,,0,1,0,1,0,0,0,0,0,40,50,-10,40,1,1.25,-.25,80,.25,0,0,,,,,,,,,,,500,,,800,,,,,16000,18000,,16000,25380,253800,25380,507600,761400,1,0,,30,0,150,120,0,11000,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,150,120,30,1,150,120,30,151,.79470199,0,0,,,,,,,,,,,400,,,500,,,,,11000,,11000,12000,22330,,22330,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
HID100543,1,0,,7,5,0,0,0,14000,0,0,1,0,,,,,0,0,0,1,0,0,0,0,0,5,1,4,3,1.6666666,.33333334,1.3333334,8,0,0,0,,,,,,,,,,,,,,800,,,,,14000,,14000,16000,19740,,19740,19740,19740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
HID100682,2,0,,100,70,0,50,0,20000,0,4,12,0,,,,,1,0,1,1,0,0,0,0,0,70,66,4,96,.72916669,.6875,.041666668,166,.30120483,0,0,,,,,,,,,,,,,,800,,,,,20000,,20000,16000,28200,,28200,338400,338400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
HID100967,1,0,,20,6,0,10,5,16000,0,0,6,0,,,,,0,1,0,1,0,0,0,0,0,6,21,-15,35,.17142858,.60000002,-.42857143,41,.24390244,0,0,,,,,,,,,,,900,,,800,,,,,16000,16000,,16000,22560,112800,22560,135360,248160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
HID101054,1,0,,7,0,0,0,0,17000,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,,,,,,,,,,,,,,800,,,,,17000,,17000,16000,23970,,23970,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
HID101094,1,0,,7,0,0,0,0,17000,0,0,7,0,,,,,0,0,0,1,0,0,0,0,0,0,7,-7,14,0,.5,-.5,14,0,0,0,,,,,,,,,,,1500,,,800,,,,,17000,,17000,16000,23970,,23970,167790,167790,1,0,,50,0,0,3,0,12500,0,0,12,0,12,15,12,,0,0,0,1,1,0,1,0,0,0,15,-15,65,0,.23076923,-.23076923,65,.046153847,0,0,2160,4383,,,,,1,2160,,,,,,500,,0,,,12500,,12500,12000,25375,,25375,304500,304500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
HID101229,1,0,,11,30,0,24,0,15750,4,0,4,0,,,,,0,0,0,1,0,0,0,0,0,30,32,-2,13,2.3076923,2.4615386,-.15384616,43,.55813956,0,0,,,,,,,,,,,800,,,800,,,,,15750,,15750,16000,22207.5,,22207.5,88830,88830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
HID101249,1,0,,8,16,0,20,0,16000,0,0,6,0,,,,,0,0,0,1,0,0,0,0,0,16,26,-10,18,.8888889,1.4444444,-.55555558,34,.58823532,0,0,,,,,,,,,,,900,,,800,,,,,16000,,16000,16000,22560,,22560,135360,135360,1,0,,10,18,0,15,3,13000,0,0,8,0,,,,,0,1,0,1,0,0,0,0,0,18,26,-8,18,1,1.4444444,-.44444445,36,.41666666,0,0,,,,,,,,,,,500,,,500,,,,,15000,13000,,12000,26390,79170,26390,211120,290290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
