hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID100022,5,0,0,0,,,,,,,,
HID100123,17,0,0,0,,,,,,,,
HID100505,19,2,2,0,0,0,0,0,0,0,0,0
HID100568,1,1.5,1.5,2200,1500,700,0,0,0,0,0,0
HID100622,17,2,2,0,0,0,0,0,0,0,0,0
HID100703,8,1,1,0,0,0,0,0,0,0,0,0
HID100709,1,0,0,0,,,,,,,,
HID100767,3,0,0,0,,,,,,,,
HID100830,1,0,0,0,,,,,,,,
HID100960,25,0,0,0,,,,,,,,
HID101040,23,.1049999967217445,.1049999967217445,0,0,0,0,0,0,0,0,0
HID101076,7,.5,.5,0,0,0,0,0,0,0,0,0
HID101086,2,0,0,0,,,,,,,,
HID101130,7,.6000000238418579,.6000000238418579,4200,3600,600,0,0,0,0,0,0
HID101147,25,0,0,0,,,,,,,,
HID101152,1,8,8,16000,6000,10000,0,0,0,0,0,0
HID101200,21,1.799999952316284,1.799999952316284,4000,1000,3000,0,0,0,0,0,0
HID101213,21,0,0,0,,,,,,,,
HID101260,20,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID101624,17,2.900000095367432,2.900000095367432,4000,2000,2000,0,0,0,0,0,0
HID101636,4,.5,.5,0,0,0,0,0,0,0,0,0
HID101774,14,1.509999990463257,1.509999990463257,3000,1500,1000,0,0,0,500,0,0
HID101937,3,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID102011,16,0,0,0,,,,,,,,
HID102100,20,.5,.5,0,0,0,0,0,0,0,0,0
HID102181,14,1.100000023841858,1.100000023841858,7500,2500,5000,0,0,0,0,0,0
HID102229,22,2,2,0,0,0,0,0,0,0,0,0
HID102441,3,0,0,0,,,,,,,,
HID102496,7,.6600000262260437,.6600000262260437,0,0,0,0,0,0,0,0,0
HID102562,8,0,0,0,,,,,,,,
HID102779,17,.5,.5,0,0,0,0,0,0,0,0,0
HID102839,8,1.200000047683716,1.200000047683716,11000,1000,10000,0,0,0,0,0,0
HID102877,1,3.279999971389771,3.279999971389771,4000,1000,3000,0,0,0,0,0,0
HID102931,3,1.200000047683716,1.200000047683716,0,0,0,0,0,0,0,0,0
HID103006,22,1,1,0,0,0,0,0,0,0,0,0
HID103057,14,.800000011920929,.800000011920929,0,0,0,0,0,0,0,0,0
HID103066,5,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID103140,18,0,0,0,,,,,,,,
HID103196,13,4,4,6000,2000,4000,0,0,0,0,0,0
HID103225,21,1,1,6300,3300,3000,0,0,0,0,0,0
HID103340,1,3,3,3000,400,2000,0,0,0,600,0,0
HID103410,11,0,0,0,,,,,,,,
HID103416,4,.8600000143051147,.8600000143051147,1050,750,300,0,0,0,0,0,0
HID103572,14,.5,.5,0,0,0,0,0,0,0,0,0
HID103647,21,1.279999971389771,1.279999971389771,3400,1750,1500,0,0,0,150,0,0
HID103775,1,0,0,0,,,,,,,,
HID103871,3,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID103915,13,1.5,1.5,0,0,0,0,0,0,0,0,0
HID103986,12,.2300000041723251,.2300000041723251,0,0,0,0,0,0,0,0,0
HID103990,14,.5,1,0,0,0,0,0,0,0,0,0
HID104034,21,.3799999952316284,.3799999952316284,0,0,0,0,0,0,0,0,0
HID104238,21,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID104328,20,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID104349,7,0,0,0,,,,,,,,
HID104451,3,0,0,0,,,,,,,,
HID104495,4,.9900000095367432,.9900000095367432,0,0,0,0,0,0,0,0,0
HID104497,17,1,1,0,0,0,0,0,0,0,0,0
HID104607,20,2,2,0,0,0,0,0,0,0,0,0
HID104779,5,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID104786,13,2.5,3,0,0,0,0,0,0,0,0,0
HID104920,17,.5,.5,0,0,0,0,0,0,0,0,0
HID104929,7,0,0,0,,,,,,,,
HID105113,3,0,0,0,,,,,,,,
HID105181,1,1.850000023841858,2,8000,1000,7000,0,0,0,0,0,0
HID105281,21,1.899999976158142,1.899999976158142,8000,1000,5000,0,0,0,1000,1000,0
HID105463,14,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
