hhid,province,raised_Poultry,raised_cattle_buffalo,raised_Livestock,raised_Livestock_Poultry,ag_hh_homelot,ag_area_homelot,ag_hh_parcel,ag_area_parcel,ag_hh,ag_area,zone,fhh,edu_hh,edu_hh_head,covid_shock,ag_comm,ag_assoc,ag_comm_assoc,animal_area,animal_ded_area,homelot_area,parcel_area,holding_area,animal_area_rate,rice,rice_harv_sold_pct,sold_rice,rice_area_agland_pct,rice_area_total_pct,rice_price_impt,value_rice_prod,rice_price,cashew,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,qty_cashew_gift,qty_cashew_pay,qty_cashew_feed,qty_cashew_seed,qty_cashew_lost,qty_cashew_processed,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,cashew_price_impt,value_cashew_prod,cashew_price,animal_disease,irrigation,drought,flood,ag_extension_training,family_hours,family_full_days,family_work_days
HID100022,5,1,1,1,1,1,.024,1,.1764,1,.20039999,Mountain,0,2,2,0,0,0,0,.0167999994009733,1,.024,.1764000058174133,.20040001,.083832331,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,216,27,60
HID100123,17,1,1,1,1,1,.315,0,0,1,.315,Tonle Sap,0,0,0,0,0,0,0,.0024999999441206,1,.315,,.315,.0079365075,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,0,250,31.25,125
HID100131,3,,,,,0,0,1,3,1,3,Plain,0,2,2,0,0,0,0,,0,.14,3,3.1400001,,1,.375,1,1,.955414,0,8400000,1050,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,150,18.75,55
HID100257,12,,,,,0,0,1,.5,1,.5,Phnom Penh,0,2,2,0,0,0,0,,0,.01,.5,.50999999,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,64,8,32
HID100505,19,0,1,1,1,0,0,1,2,1,2,Mountain,0,1,0,0,0,0,0,,0,.25,2,2.25,,1,0,0,1,.8888889,1,2400000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,4136,517,612
HID100568,1,1,1,1,1,1,.045,1,1.5,1,1.545,Tonle Sap,0,2,1,0,0,0,0,.0020000000949949,1,.045,1.5,1.545,.0012944984,1,.31818181,1,.97087383,.97087383,0,2310000,1050,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,1,4480,560,600
HID100622,17,1,0,0,1,1,.032,1,2,1,2.0320001,Tonle Sap,0,1,1,0,0,0,0,.0020000000949949,1,.032,2,2.0320001,.00098425196,1,0,0,.98425192,.98425192,1,1440000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,3608,451,551
HID100667,19,,,,,0,0,1,2,1,2,Mountain,1,0,0,0,0,0,0,,0,.06,2,2.0599999,,1,0,0,.5,.48543692,1,1190000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,3136,392,392
HID100703,8,0,1,1,1,1,.011,1,1,1,1.011,Plain,0,2,2,0,0,1,1,,0,.011,1,1.011,,1,0,0,.98911965,.98911965,1,2000000,800,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2460,307.5,540
HID100709,1,0,1,1,1,1,.03,0,0,1,.029999999,Tonle Sap,0,1,1,0,0,0,0,.0031999999191612,1,.03,,.029999999,.10666667,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,540,67.5,270
HID100767,3,0,1,1,1,1,.15,1,2,1,2.1500001,Plain,0,2,1,0,0,0,0,.0020000000949949,1,.15,2,2.1500001,.00093023258,0,,,,,0,,,1,2,2,1000,0,1000,0,0,0,0,0,0,1,1,.93023252,.93023252,0,2500000,2500,0,0,0,0,0,4200,525,525
HID100830,1,1,0,1,1,1,.04,0,0,1,.039999999,Tonle Sap,1,2,0,0,0,0,0,.0015999999595806,1,.04,2,2.04,.00078431371,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2880,360,360
HID100960,25,0,1,1,1,1,.04,0,0,1,.039999999,Plain,1,1,0,0,0,0,0,.0003999999898952,1,.04,,.039999999,.0099999998,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,4320,540,720
HID101040,23,1,0,0,1,1,.057,1,.1049999967217445,1,.162,Coastal,1,3,2,0,0,0,0,.0015999999595806,1,.057,.1049999967217445,.162,.0098765427,1,0,0,.64814812,.64814812,1,512100,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,3480,435,1560
HID101076,7,1,1,1,1,1,.18,1,.5,1,.68000001,Coastal,0,2,2,0,0,0,0,.0020000000949949,1,.18,.5,.68000001,.0029411765,1,0,0,.7352941,.7352941,1,1600000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,978,122.25,222
HID101086,2,1,0,0,1,1,.0525,0,0,1,.052499998,Tonle Sap,0,2,2,1,0,0,0,,0,.0525,,.052499998,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,351,43.875,117
HID101130,7,1,1,1,1,1,.06,1,.5999999982118607,1,.66000003,Coastal,1,2,1,0,0,0,0,.0350000001490116,1,.06,.600000012665987,.66000003,.053030301,1,.14285715,1,.90909094,.90909094,0,4200000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,1120,140,280
HID101147,25,0,1,1,1,1,.045,1,3,1,3.0450001,Plain,0,2,1,0,0,0,0,,0,.045,3,3.0450001,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,5850,731.25,750
HID101152,1,1,0,0,1,1,.2108,1,13,1,13.2108,Tonle Sap,1,2,0,0,0,0,0,.0006000000284985,1,.2108,13,13.2108,.000045417386,1,.625,1,.60556513,.60556513,0,14720000,920,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,0,4380,547.5,660
HID101200,21,1,1,1,1,1,.06,1,1.8,1,1.86,Plain,0,2,2,0,0,0,0,,0,.06,1.80000002682209,1.86,,1,.75,1,.96774191,.96774191,0,3600000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,864,108,252
