year,value,product_general,unit,flow,dataset,product_detailed,dataset_product
2019,600,cashew,1000 t,exports,CAC,Cashew,CAC - Cashew
2020,950,cashew,1000 t,exports,CAC,Cashew,CAC - Cashew
2021,1100,cashew,1000 t,exports,CAC,Cashew,CAC - Cashew
2022,670,cashew,1000 t,exports,CAC,Cashew,CAC - Cashew
2023,656,cashew,1000 t,exports,CAC,Cashew,CAC - Cashew
2019,,,1 million USD,exports,CAC,Cashew,CAC - Cashew
2020,,,1 million USD,exports,CAC,Cashew,CAC - Cashew
2021,,,1 million USD,exports,CAC,Cashew,CAC - Cashew
2022,1077,cashew,1 million USD,exports,CAC,Cashew,CAC - Cashew
2023,837,cashew,1 million USD,exports,CAC,Cashew,CAC - Cashew
2012,.006337,poultry,1000 t,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2012,.424077,cashew,1000 t,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2012,.028849,cashew,1000 t,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2013,.961348,cashew,1000 t,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2013,.00741,poultry,1000 t,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2013,.013727,cashew,1000 t,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2013,.489363,cashew,1000 t,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2014,.000039,cashew,1000 t,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2014,.190534,cashew,1000 t,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2014,.008169,poultry,1000 t,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2014,.707135,cashew,1000 t,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2014,.16464,cashew,1000 t,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2015,.000019,cashew,1000 t,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2015,.10077,cashew,1000 t,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2015,.015984,poultry,1000 t,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2015,.000338,poultry,1000 t,exports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2015,.349983,cashew,1000 t,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
