Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2731","Bovine Meat","2010","2010","1000 t","73","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2731","Bovine Meat","2010","2010","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2731","Bovine Meat","2010","2010","1000 t","73","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2731","Bovine Meat","2010","2010","g/cap/d","2.19","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2731","Bovine Meat","2011","2011","1000 t","73","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2731","Bovine Meat","2011","2011","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2731","Bovine Meat","2011","2011","1000 t","73","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2731","Bovine Meat","2011","2011","g/cap/d","2.16","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2731","Bovine Meat","2012","2012","1000 t","73","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2731","Bovine Meat","2012","2012","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2731","Bovine Meat","2012","2012","1000 t","69","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2731","Bovine Meat","2012","2012","g/cap/d","2.02","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2731","Bovine Meat","2013","2013","1000 t","70","I","Imputed value",""
