pathwayID,goalName,Policy.Goal,Pathway,Instrument,Implementation,Producer.unit.costs,Final.consumer.price,Final.prod.Q,Prod.Quality,Speed,Trade.or.Legal.Considerations,Overall Feasibility
1,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កាត់បន្ថយថ្លៃដើមចំណីរបស់អ្នកផលិត,ប្រាក់ឧបត្ថម្ភ,អាហារបសុបក្សីឧបត្ថម្ភធន,⬇,⬇,⬆,⬍,លឿន,NA,មធ្យម
2,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កាត់បន្ថយថ្លៃដើមចំណីរបស់អ្នកផលិត,ព័ត៌មាន,ព័ត៌មានអំពីប្រភពដែលមានតម្លៃថោកនៃចំណីសត្វបក្សី,⬇,⬇,⬆,?,យឺត,NA,មធ្យម
37,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កាត់បន្ថយការប្រកួតប្រជែងនាំចូល,កូតា,កូតាលើកូនមាន់នាំចូល,⬆,⬆,⬇,⬍,មធ្យម,តំបន់ និង WTO,ទាប
3,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កាត់បន្ថយការប្រកួតប្រជែងនាំចូល,ពន្ធ,ពន្ធលើការនាំចូលមាន់,=,⬆,⬇,⬍,មធ្យម,តំបន់ និង WTO,?
4,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយកាត់បន្ថយការស្លាប់របស់មាន់,ព័ត៌មាន,ព័ត៌មានអំពីវ៉ាក់សាំងបក្សី,⬆,⬍,⬆,⬆,យឺត,NA,ខ្ពស់។
5,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយកាត់បន្ថយការស្លាប់របស់មាន់,ប្រាក់ឧបត្ថម្ភ,ឧបត្ថម្ភធន វ៉ាក់សាំងបក្សី,⬇,⬇,⬆,⬆,យឺត,NA,NA
6,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,តម្រូវការកើនឡើងតាមរយៈការទិញរបស់រដ្ឋាភិបាល,បទប្បញ្ញត្តិ,ការទិញមាន់របស់រដ្ឋាភិបាល,=,⬆,⬆,⬍,មធ្យម,NA,NA
7,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,តម្លៃអ្នកផលិតគាំទ្របានទទួល,បទប្បញ្ញត្តិ,ជាន់​តម្លៃ​មាន់​ដែល​កំណត់​ដោយ​រដ្ឋាភិបាល,=,⬆,⬇,⬍,មធ្យម,NA,NA
8,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,តម្លៃជាន់,បទប្បញ្ញត្តិ,ព័ត៌មាន/ការយល់ដឹងអំពីតម្លៃជាន់,=,⬆,⬇,⬍,លឿន,NA,NA
9,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កែលម្អគុណភាពមាន់ក្នុងស្រុក,បទប្បញ្ញត្តិ,អនុវត្តស្តង់ដារទម្ងន់ និងគុណភាពសម្រាប់មាន់,=,⬆,⬍,⬆,យឺត,NA,NA
10,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កែលម្អគុណភាពមាន់ក្នុងស្រុក,ព័ត៌មាន,ព័ត៌មានអំពីស្តង់ដារ,=,⬆,⬍,⬆,យឺត,NA,NA
11,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,បង្កើនតម្រូវការតាមរយៈការអប់រំអ្នកប្រើប្រាស់,ព័ត៌មាន,ទីផ្សារអត្ថប្រយោជន៍អាហារូបត្ថម្ភរបស់សាច់មាន់,=,⬍,⬆,⬍,យឺត,NA,NA
12,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កាត់បន្ថយតម្លៃដែលអតិថិជនបង់,ប្រាក់ឧបត្ថម្ភ,ឥណទានពន្ធដល់អ្នកប្រើប្រាស់ដែលទិញក្នុងស្រុក,=,⬇,⬆,⬍,មធ្យម,NA,NA
13,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់សាច់មាន់ដែលផលិត,ព័ត៌មាន,ការកសាងសមត្ថភាព/ការបណ្តុះបណ្តាលលើការកែលម្អផលិតកម្មមាន់ក្នុងស្រុក,=,⬍,⬆,⬍,មធ្យម,NA,NA
14,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយការបង្កើនលទ្ធភាពទទួលបានដើមទុនសម្រាប់ការធ្វើមាត្រដ្ឋានផលិតកម្មបសុបក្សី,ប្រាក់ឧបត្ថម្ភ,ឧបត្ថម្ភធន/ផ្តល់មូលនិធិដល់ការទទួលបានឥណទានខ្នាតតូចសម្រាប់ការផលិតពូជបសុបក្សីដែលប្រសើរឡើង។,⬇,⬆,⬆,⬍,លឿន,NA,NA
